"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"Shai","Gilgeous-Alexander","OKC","MEM vs. OKC","30.80","5.28","6.71","2.10","0.85","1.50","2.17","42.79","36.08","37.51","54.29","2025-12-22T22:07:43Z"
"Nikola","Jokic","DEN","UTA vs. DEN","30.44","11.91","10.45","2.73","0.88","1.54","3.04","52.81","42.36","40.89","68.73","2025-12-22T22:07:42Z"
"Stephen","Curry","GSW","ORL vs. GSW","29.11","4.22","4.65","4.62","0.40","1.27","3.20","37.98","33.33","33.76","48.61","2025-12-22T22:07:41Z"
"Donovan","Mitchell","CLE","CHA vs. CLE","28.56","4.59","5.75","3.37","0.31","1.55","2.81","38.90","33.15","34.31","49.73","2025-12-22T22:07:42Z"
"Cade","Cunningham","DET","DET vs. POR","28.34","6.45","8.86","2.17","0.90","1.65","3.95","43.65","34.79","37.20","57.86","2025-12-22T22:07:42Z"
"Jaylen","Brown","BOS","IND vs. BOS","27.99","6.46","4.66","2.07","0.41","1.11","3.26","39.11","34.45","32.64","48.76","2025-12-22T22:07:41Z"
"Deni","Avdija","POR","DET vs. POR","26.25","7.98","6.43","2.31","0.65","0.88","4.20","40.66","34.23","32.68","52.19","2025-12-22T22:07:42Z"
"Paolo","Banchero","ORL","ORL vs. GSW","25.99","8.14","5.25","1.81","0.54","0.96","3.28","39.37","34.13","31.23","49.57","2025-12-22T22:07:41Z"
"Shaedon","Sharpe","POR","DET vs. POR","25.51","5.13","3.23","2.42","0.30","1.39","3.33","33.87","30.64","28.74","43.01","2025-12-22T22:07:42Z"
"Jamal","Murray","DEN","UTA vs. DEN","25.02","4.00","6.70","3.47","0.48","1.25","1.91","35.72","29.02","31.72","46.23","2025-12-22T22:07:42Z"
"Lauri","Markkanen","UTA","UTA vs. DEN","24.23","6.19","1.97","2.82","0.47","0.89","1.31","32.39","30.42","26.20","39.71","2025-12-22T22:07:42Z"
"Anthony","Davis","DAL","DAL vs. NOP","24.18","11.53","3.59","0.84","2.03","1.13","2.28","39.31","35.71","27.78","51.85","2025-12-22T22:07:43Z"
"Trey","Murphy","NOP","DAL vs. NOP","22.62","5.80","4.18","2.55","0.29","1.63","2.17","32.61","28.42","26.80","42.35","2025-12-22T22:07:43Z"
"Jimmy","Butler","GSW","ORL vs. GSW","22.08","5.83","4.77","0.87","0.26","1.51","1.47","32.68","27.91","26.85","41.24","2025-12-22T22:07:41Z"
"Pascal","Siakam","IND","IND vs. BOS","22.01","6.09","3.76","1.67","0.41","0.97","1.99","31.86","28.10","25.77","39.84","2025-12-22T22:07:41Z"
"Keyonte","George","UTA","UTA vs. DEN","21.92","4.05","6.55","2.88","0.22","0.83","2.89","32.52","25.97","28.47","41.78","2025-12-22T22:07:42Z"
"Cooper","Flagg","DAL","DAL vs. NOP","21.81","6.30","3.93","1.06","0.78","1.27","2.16","32.04","28.10","25.74","41.28","2025-12-22T22:07:43Z"
"Zion","Williamson","NOP","DAL vs. NOP","21.46","5.50","4.03","0.08","0.66","1.14","2.62","30.99","26.96","25.49","39.33","2025-12-22T22:07:43Z"
"Darius","Garland","CLE","CHA vs. CLE","21.33","3.41","7.20","2.90","0.13","1.23","2.59","31.94","24.74","28.53","41.86","2025-12-22T22:07:41Z"
"Brandon","Miller","CHA","CHA vs. CLE","21.30","4.67","3.33","3.71","0.77","1.11","2.66","29.30","25.97","24.62","39.06","2025-12-22T22:07:42Z"
"Miles","Bridges","CHA","CHA vs. CLE","21.02","6.32","3.58","2.62","0.50","0.74","2.02","30.92","27.34","24.61","39.10","2025-12-22T22:07:42Z"
"Desmond","Bane","ORL","ORL vs. GSW","20.59","5.11","5.05","2.21","0.32","1.17","2.80","30.75","25.70","25.65","40.06","2025-12-22T22:07:41Z"
"Kon","Knueppel","CHA","CHA vs. CLE","19.87","5.12","3.54","3.90","0.25","0.94","2.55","28.52","24.98","23.41","37.18","2025-12-22T22:07:42Z"
"LaMelo","Ball","CHA","CHA vs. CLE","19.56","4.82","7.66","2.81","0.25","1.05","3.14","32.04","24.38","27.22","42.64","2025-12-22T22:07:42Z"
"Jalen","Williams","OKC","MEM vs. OKC","19.47","5.39","5.29","1.60","0.57","1.32","1.64","30.16","24.87","24.77","39.55","2025-12-22T22:07:43Z"
"Derrick","White","BOS","IND vs. BOS","17.39","4.86","4.70","3.30","1.22","1.27","1.70","26.95","22.25","22.09","37.99","2025-12-22T22:07:41Z"
"Jaren","Jackson","MEM","MEM vs. OKC","17.11","5.20","2.29","2.22","1.16","0.77","2.42","24.60","22.31","19.40","33.23","2025-12-22T22:07:43Z"
"Jalen","Duren","DET","DET vs. POR","17.09","10.32","2.51","0.00","1.31","0.91","2.07","29.92","27.40","19.60","39.22","2025-12-22T22:07:42Z"
