"First Name","Last Name","Team","Matchup","PPR","HPPR","CMP","YDS","YDS","REC","YDS","1+","2+","3+","1st","Last Updated"
"Jahmyr","Gibbs","DET","PIT vs. DET","24.69","22.16","0.00","0.00","77.41","5.07","43.13","66.84%","30.24%","10.04%","17.36%","2025-12-21T20:43:40Z"
"Bijan","Robinson","ATL","ATL vs. ARI","24.49","22.40","0.00","0.00","97.12","4.18","38.56","58.39%","21.90%","5.91%","15.69%","2025-12-21T20:43:40Z"
"Jonathan","Taylor","IND","SF vs. IND","23.41","22.01","0.00","0.00","105.95","2.79","21.56","64.43%","27.66%","8.66%","17.71%","2025-12-22T15:22:26Z"
"Jalen","Hurts","PHI","PHI vs. WAS","22.87","22.87","18.68","224.77","33.99","0.00","0.00","43.43%","11.20%","2.02%","10.02%","2025-12-20T21:32:59Z"
"Josh","Allen","BUF","BUF vs. CLE","22.27","22.27","18.39","211.69","33.91","0.00","0.00","47.26%","13.52%","2.72%","10.27%","2025-12-21T17:48:31Z"
"Christian","McCaffrey","SF","SF vs. IND","22.00","19.68","0.00","0.00","65.91","4.64","41.24","63.23%","26.45%","8.04%","17.72%","2025-12-22T15:22:26Z"
"Amon-Ra","St. Brown","DET","PIT vs. DET","21.98","18.34","0.00","0.00","1.05","7.28","91.28","50.96%","16.02%","3.57%","11.21%","2025-12-21T20:43:40Z"
"Puka","Nacua","LA","LA vs. SEA","21.50","17.90","0.00","0.00","3.82","7.22","95.41","40.08%","9.39%","1.53%","9.14%","2025-12-19T00:44:57Z"
"Ja'Marr","Chase","CIN","CIN vs. MIA","21.40","17.91","0.00","0.00","1.89","7.00","91.35","47.93%","13.95%","2.86%","11.49%","2025-12-21T17:48:32Z"
"Lamar","Jackson","BAL","NE vs. BAL","21.22","21.22","17.82","213.04","40.33","0.00","0.00","15.28%","1.23%","0.07%","2.48%","2025-12-22T01:18:55Z"
"De'Von","Achane","MIA","CIN vs. MIA","21.19","19.27","0.00","0.00","86.75","3.84","31.19","52.29%","16.98%","3.92%","11.84%","2025-12-21T17:48:32Z"
"Drake","Maye","NE","NE vs. BAL","21.03","21.03","20.93","249.00","25.45","0.00","0.00","28.77%","4.60%","0.51%","5.34%","2025-12-22T01:18:55Z"
"Justin","Herbert","LAC","LAC vs. DAL","20.82","20.82","21.38","240.36","23.12","0.00","0.00","11.30%","0.66%","0.03%","1.76%","2025-12-21T17:48:31Z"
"Joe","Burrow","CIN","CIN vs. MIA","20.81","20.81","24.27","266.25","7.92","0.00","0.00","7.74%","0.31%","0.01%","1.42%","2025-12-21T17:48:32Z"
"Jacoby","Brissett","ARI","ATL vs. ARI","20.67","20.67","23.78","260.19","14.51","0.00","0.00","12.41%","0.80%","0.04%","2.34%","2025-12-21T20:43:40Z"
"Bo","Nix","DEN","JAX vs. DEN","20.40","20.40","22.65","246.39","20.91","0.00","0.00","20.21%","2.20%","0.16%","3.90%","2025-12-21T20:43:40Z"
