PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
37794,"Jarrett Allen",,,CLE,NYK,156896,956574,-,27,14.17,8.99,2.15,0.01,1.56,0.87,1.2,16.32,23.16,25.31,2.07,11.14,8.53,5.47,0.11,4.24,3.2,8.64,5.48,32.83,32.83,32.69,25.25,40.28,11.59,11.59,9.59,25.3,29.56,32.69,35.6,40.53,42.54,50.83,7.64%,131,127,THURS,38286,2,37794,
37875,"Donovan Mitchell",,,CLE,NYK,156896,879707,-,33,28.8,4.27,4.67,3.9,2.82,1.06,0.17,33.47,33.07,37.74,1.23,8.94,11.58,5.42,10.5,7.53,6.25,22.08,9.32,41.8,41.8,44.3,35.21,54.38,18.67,18.67,9.26,35.05,40.21,44.3,48.39,54.41,56.77,67.96,16.76%,131,127,THURS,38278,3,37875,
1115224,"Darius Garland",,,CLE,NYK,156896,1134262,-,31,19,3.09,6.44,2.7,2.58,0.95,0.15,25.44,22.09,28.53,1.1,9.53,8.81,3.84,7.28,3.69,3.23,16.09,6.54,33.09,33.09,34.95,26.65,44.33,3.22,3.22,4.99,26.5,31.3,34.95,38.6,44.54,46.83,58.02,1.23%,131,127,THURS,86449,5,1115224,
1115296,"De'Andre Hunter",,,CLE,NYK,156896,942857,,26,12.98,3.86,1.16,1.79,1.05,0.78,0.17,14.14,16.84,18,0.95,5.02,5.06,2.25,4.87,3.67,3.11,9.93,4.04,21.15,21.15,21.82,15.35,29.11,0.22,0.22,2.34,15.2,18.63,21.82,24.52,29.18,30.89,39.72,0.09%,131,127,THURS,70224,6,1115296,
1144092,"Dean Wade",,,CLE,NYK,156896,880677,,25,5.78,5.3,1.73,1.49,0.29,0.6,0.25,7.51,11.08,12.81,0.85,7.03,0.99,0.4,4.25,0.72,0.49,5.24,1.89,17,17,17.31,11.77,23.73,0.42,0.42,1.69,11.62,14.94,17.31,19.68,23.71,25.61,33.43,0.43%,131,127,THURS,72850,7,1144092,
2439420,"Sam Merrill",,,CLE,NYK,156896,953106,,26,10.81,3.23,2.82,3.09,0.73,0.65,0.29,13.63,14.04,16.86,0.94,6.05,1.04,0.44,7.69,0.73,0.67,8.73,3.53,21.01,21.01,22.14,14.85,30.31,2.74,2.74,20.53,14.84,19.14,22.14,25.3,30.41,32.36,42.33,7.83%,131,127,THURS,72801,9,2439420,
4934240,"Craig Porter",,,CLE,NYK,156896,1236197,,18,5.09,3.38,2.55,0.46,0.83,1.18,0.49,7.64,8.47,11.02,1.67,5.93,2.97,1.56,1.12,0.88,0.59,4.09,2.02,17.15,17.15,16.3,11.18,21.85,2.84,2.84,6.21,11.16,14.07,16.3,18.53,22.11,23.45,30.15,2.91%,131,127,THURS,180209,13,4934240,
6412819,"Jaylon Tyson",,,CLE,NYK,156896,1342747,,25,11.9,4.35,2.32,1.74,1.25,0.81,0.34,14.22,16.25,18.57,1.15,6.67,5.05,2.25,5.06,2.77,2.17,10.11,3.99,22.8,22.8,23.39,16.58,31.24,0.16,0.16,0.56,16.35,20.37,23.39,26.41,31.19,33.2,41.5,0.08%,131,127,THURS,180082,14,6412819,
7796671,"Nae'Qwan Tomlin",,,CLE,NYK,156896,1403628,,6,2.32,1.05,0.25,0.18,0.09,0.36,0.3,2.57,3.37,3.62,0.66,1.3,1.42,0.65,0.77,0.68,0.48,2.19,0.83,5.85,5.85,5.37,3.17,7.89,0,0,0,3.05,4.35,5.37,6.24,7.84,8.56,11.32,0.16%,131,127,THURS,245036,15,7796671,
8998236,"Tyrese Proctor",,,CLE,NYK,156896,1403594,,7,2.27,1.11,0.42,0.34,0.26,0.23,0.11,2.69,3.38,3.8,0.34,1.53,1.04,0.46,0.99,0.44,0.32,2.03,0.8,4.99,4.99,5.01,1.7,9.28,0,0,0,1.57,3.44,5.01,6.89,9.39,10.96,16.28,0.04%,131,127,THURS,245535,17,8998236,
37884,"Thomas Bryant",,,CLE,NYK,156896,896601,,16,6.25,4.45,0.66,0.67,0.75,0.25,0.47,6.91,10.7,11.36,0.72,5.11,2.87,1.54,1.98,1.36,1.15,4.85,2.21,13.99,13.99,14.2,8.7,20.77,0,0,2.53,8.59,11.56,14.2,16.51,20.47,22.13,30.05,0.33%,131,127,THURS,38313,18,37884,
