PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
18899,"Kristaps Porzingis",6000,PF/C,ATL,DEN,157709,877869,-,22,15.87,4.48,2.36,1.74,1.02,0.66,0.79,18.23,20.35,22.71,1.45,6.84,6.76,3.19,4.59,5.14,4.28,11.35,4.93,28.12,28.12,28.29,4.72,4.25%,135,145,FRI,12577,2,18899,20.78,36.52,2.05,2.05,9.73,20.64,25.23,28.29,31.35,36.74,38.99,48.93,
37814,"Luke Kennard",3800,PG/SF,ATL,DEN,157709,887661,-,21,6.97,1.8,2.26,1.48,0.67,0.66,0.12,9.23,8.77,11.03,0.78,4.06,1.78,0.92,3.31,0.76,0.69,5.09,2.4,14.19,14.19,14.58,3.84,0.04%,135,145,FRI,38279,3,37814,9.12,21.15,0,0,1.59,9.18,12.15,14.58,17.01,21.33,22.95,30.78,
1115445,"Nickeil Alexander-Walker",7200,SG/SF,ATL,DEN,157709,1067668,-,34,20.06,3.34,3.45,2.61,2.12,1.19,0.48,23.51,23.4,26.85,1.67,6.79,10.64,4.59,6.8,3.66,3.06,17.44,7.2,32.13,32.13,33.01,4.58,7.23%,135,145,FRI,69666,4,1115445,24.73,42.3,2.72,2.72,6.96,24.51,29.37,33.01,36.89,42.48,45.15,54.85,
2439277,"Onyeka Okongwu",7100,C,ATL,DEN,157709,1185367,,30,15.63,7.66,3.2,1.29,1.49,1.39,0.64,18.83,23.29,26.49,2.03,10.86,8.49,4.47,3.61,3.68,2.81,12.1,5.76,34.22,34.22,34.25,4.82,3.71%,135,145,FRI,91845,5,2439277,25.79,43.12,1.66,1.66,9.71,25.56,30.67,34.25,37.83,43.45,45.75,56.23,
2439347,"Vit Krejci",4100,SF,ATL,DEN,157709,1257428,,25,8.98,2.26,1.73,2.19,0.79,1.16,0.31,10.71,11.24,12.97,1.47,3.99,1.83,0.89,4.92,0.84,0.63,6.75,3.08,17.91,17.91,18.04,4.4,1.16%,135,145,FRI,161284,6,2439347,11.61,25.5,0.01,0.01,5.73,11.67,15.12,18.04,21.22,25.73,27.59,36.61,
3005263,"Jalen Johnson",10800,PF,ATL,DEN,157709,1230356,,37,24.94,10.13,8.71,1.38,2.96,1.02,0.59,33.65,35.07,43.78,1.61,18.84,16.22,8.16,4.06,5.84,4.5,20.28,9.54,52.03,52.03,54.52,5.05,11.98%,135,145,FRI,165214,7,3005263,44.07,66.12,7.24,7.24,19.49,44.03,50.17,54.52,59.38,66.29,69.11,81.65,
3587993,"Dyson Daniels",7000,PG/SG,ATL,DEN,157709,1357745,,34.5,12.63,5.85,6.36,0.54,2.19,1.47,0.68,18.99,18.48,24.84,2.15,12.21,9.73,4.88,2.02,2.04,1.25,11.75,5.42,33.45,33.45,33.23,4.75,6.24%,135,145,FRI,195261,10,3587993,25.86,42.15,2.38,2.38,7.42,25.85,30.03,33.23,36.92,42.37,44.8,53.91,
4388493,"Keaton Wallace",3000,PG,ATL,DEN,157709,1063166,,2,0.83,0.24,0.27,0.13,0.11,0.06,0.02,1.1,1.07,1.34,0.08,0.51,0.33,0.14,0.38,0.18,0.14,0.71,0.27,1.65,1.65,1.71,0.57,0.13%,135,145,FRI,245561,11,4388493,0.56,3.42,0,0,0,0.73,1.22,1.71,2.2,2.93,3.12,3.26,
4878163,"Mouhamed Gueye",4400,PF/C,ATL,DEN,157709,1325101,,8,2.64,1.82,0.54,0.24,0.3,0.18,0.2,3.18,4.46,5,0.38,2.36,1.52,0.72,0.67,0.61,0.47,2.19,0.96,6.47,6.47,6.46,1.47,0.04%,135,145,FRI,180180,12,4878163,1.7,13.15,0,0,0,1.76,4.7,6.46,9.4,13.51,15.86,24.08,
6412725,"Zaccharie Risacher",4900,SF,ATL,DEN,157709,1432544,,24.5,9.58,4.16,1.49,1.37,0.79,0.48,0.39,11.07,13.74,15.23,0.87,5.65,4.71,2.17,3.9,1.67,1.14,8.61,3.54,18.63,18.63,19.05,3.89,0.33%,135,145,FRI,368366,14,6412725,12.95,26.03,0.16,0.16,1.65,12.79,16.44,19.05,21.92,26.36,28.18,36.01,
8985462,"Asa Newell",3000,PF/C,ATL,DEN,157709,1524332,,2,0.76,0.36,0.13,0.09,0.08,0.04,0.03,0.89,1.12,1.25,0.07,0.49,0.41,0.19,0.26,0.17,0.13,0.67,0.28,1.52,1.52,1.55,0.52,0.18%,135,145,FRI,457543,16,8985462,0.71,2.6,0,0,0,0.73,1.15,1.55,1.95,2.61,2.92,4.07,
409154,"Michael Porter Jr.",8700,SF,BKN,LAC,157706,1061724,,33,23.58,6.77,3.07,3.73,2.23,1.2,0.2,26.65,30.35,33.42,1.4,9.84,9.7,4.78,9.35,3.47,2.81,19.05,8.51,38.28,38.28,40.38,4.64,7.64%,126,151,FRI,75295,19,409154,31.09,50.97,5.97,5.97,9.34,30.98,36.32,40.38,44.7,51.3,53.84,65.27,
1115132,"Nic Claxton",,,BKN,LAC,157706,1061682,,26.5,11.07,6.67,2.91,0.04,1.2,0.69,1.09,13.98,17.74,20.65,1.78,9.58,7.52,4.57,0.24,3.07,1.81,7.76,4.61,27.58,27.58,26.81,32,0.00%,126,151,FRI,71024,21,1115132,19.89,34.5,0.23,0.23,5.48,19.97,23.8,26.81,29.82,34.74,36.93,45.96,
1115590,"Terance Mann",3600,SG,BKN,LAC,157706,879504,,10,2.46,1.21,1.49,0.3,0.34,0.36,0.17,3.95,3.67,5.16,0.53,2.7,1.25,0.6,0.84,0.45,0.37,2.09,0.9,7.4,7.4,7.25,2.01,0.17%,126,151,FRI,74628,22,1115590,2.64,12.33,0,0,0,2.72,5.44,7.25,9.52,13.21,14.95,22.66,
