PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,FPTS,ID,MINUTES,POWN,FLOOR,CEIL,RGID,PARTNERID
1232182,"Cade Cunningham",,PF,STA,WLD,,29.92,1232182,22,0,10.47,43.38,1232182,1232182
1186160,"Tyrese Maxey",,PG,STA,WLD,,25.62,1186160,21,0,8.97,40.99,1186160,1186160
1344765,"Jalen Duren",,PG/SG,STA,WLD,,26.04,1344765,21,0,9.11,41.66,1344765,1344765
1175367,"Anthony Edwards",,SG,STA,WLD,,26.62,1175367,22,0,9.32,35.94,1175367,1175367
1230356,"Jalen Johnson",,C,STA,WLD,,28.56,1230356,21,0,10,39.98,1230356,1230356
1343009,"Chet Holmgren",,SG,STA,WLD,,24.36,1343009,21,0,8.53,32.89,1343009,1343009
1251666,"Scottie Barnes",,C,STA,WLD,,24.99,1251666,21,0,8.75,34.99,1251666,1251666
845564,"Devin Booker",,PG/SG,STA,WLD,,23.79,845564,21,0,8.33,38.06,845564,845564
879707,"Donovan Mitchell",,SG/SF,STR,TBD,,27.3,879707,21,0,9.56,38.22,879707,879707
883436,"Jaylen Brown",,PG,STR,TBD,,26.88,883436,21,0,9.41,43.01,883436,883436
887914,"Jalen Brunson",,PF/C,STR,TBD,,24.15,887914,21,0,8.45,36.23,887914,887914
512591,"Kawhi Leonard",,SF/PF,STR,TBD,,29.68,512591,22,0,10.39,43.04,512591,512591
214152,"Lebron James",,SF/PF,STR,TBD,,25.2,214152,21,0,8.82,36.54,214152,214152
957489,"De'Aaron Fox",,SG,STR,TBD,,22.47,957489,21,0,7.86,30.33,957489,957489
887665,"Brandon Ingram",,SF/PF,STR,TBD,,21.63,887665,21,0,7.57,31.36,887665,887665
329525,"Kevin Durant",,SG,STR,TBD,,23.54,329525,22,0,8.24,31.78,329525,329525
891352,"Jamal Murray",,SF/PF,WLD,STA,,24,891352,20,0,8.4,34.8,891352,891352
853408,"Pascal Siakam",,SF,WLD,STA,,20.7,853408,18,0,7.25,26.91,853408,853408
837030,"Karl-Anthony Towns",,SG,WLD,STA,,23.56,837030,19,0,8.25,31.81,837030,837030
1257422,"Deni Avdija",,PG,WLD,STA,,22.5,1257422,18,0,7.88,36,1257422,1257422
1121277,"Luka Doncic",,PF/C,WLD,STA,,30.8,1121277,20,0,10.78,46.2,1121277,1121277
609861,"Norman Powell",,SF/PF,WLD,STA,,17.85,609861,17,0,6.25,25.88,609861,609861
1373356,"Victor Wembanyama",,PG,WLD,STA,,32,1373356,20,0,11.2,51.2,1373356,1373356
1323508,"Alperen Sengun",,PG/SG,WLD,STA,,27.72,1323508,18,0,9.7,44.35,1323508,1323508
830650,"Nikola Jokic",,SG,WLD,STA,,35,830650,20,0,12.25,47.25,830650,830650
,1,2,3,4,5,6,7,8,9,10,11,12,13,
