PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
982257,"Jarrett Stidham",,QB,DEN,NEP,158397,,32.82,19.77,206.42,1.3,0.98,5.38,22.14,0.13,0,0,0,0,15.62,15.57,15.57,228.56,1.43,228.56,1.43,22.14,0.13,0,9.29,23.26,3.26,49.5,25.65,20.04%,MAIN,865868,61644,1,982257,
4773040,"Jaleel McLaughlin",,RB,DEN,NEP,158397,,0,0,0,0,0,6.55,23.19,0.21,0.68,0.51,2.68,0.02,4.46,4.44,4.18,25.87,0.23,23.19,0.21,25.87,0.23,0,1.68,12.27,0.34,5.2,4.64,5.18%,MAIN,1271738,173596,2,4773040,
3491354,"Tyler Badie",,RB,DEN,NEP,158397,,0,0,0,0,0,0.22,0.76,0.01,2.36,1.51,10.76,0.06,3.07,3.06,2.3,11.52,0.07,0.76,0.01,11.52,0.07,0,0.03,8.08,0.08,3.88,3.33,1.95%,MAIN,1124338,50826,3,3491354,
8223044,"RJ Harvey",,RB,DEN,NEP,158397,,0,0,0,0,0,12.78,52.45,0.41,4.25,2.99,22.31,0.11,13.6,13.51,12.01,74.76,0.52,52.45,0.41,74.76,0.52,0,7.25,23.08,4.78,31.98,34.12,43.88%,MAIN,1172401,132462,4,8223044,
2874182,"Adam Prentice",,RB,DEN,NEP,158397,,0,0,0,0,0,0.11,0.41,0,0.34,0.21,1.53,0.01,0.46,0.46,0.35,1.94,0.01,0.41,0,1.94,0.01,0,0,0.92,0,0.08,0.21,0.94%,MAIN,885540,41100,5,2874182,
328827,"Courtland Sutton",,WR,DEN,NEP,158397,,0,0,0,0,0,0,0,0,7.89,4.59,54.69,0.36,12.4,12.38,10.08,54.69,0.36,0,0,54.69,0.36,0,5.79,22.26,6.38,29.82,24.35,31.16%,MAIN,838878,40663,6,328827,
4687701,"Marvin Mims",,WR,DEN,NEP,158397,,0,0,0,0,0,1.71,7.55,0.02,3.91,2.54,28.83,0.18,7.4,7.37,6.1,36.38,0.2,7.55,0.02,36.38,0.2,0,2.78,15.44,3,21.04,13.18,13.80%,MAIN,1213799,138890,7,4687701,
8223043,"Pat Bryant",,WR,DEN,NEP,158397,,0,0,0,0,0,0,0,0,5.46,3.3,37.01,0.25,8.59,8.57,6.92,37.01,0.25,0,0,37.01,0.25,0,3.3,17.44,5.72,26.5,18.34,24.05%,MAIN,1305866,170072,8,8223043,
982599,"Lil'Jordan Humphrey",,WR,DEN,NEP,158397,,0,0,0,0,0,0,0,0,1.8,1.11,12.48,0.08,2.83,2.83,2.27,12.48,0.08,0,0,12.48,0.08,0,0,7.78,0.16,6.04,2.36,1.71%,MAIN,920758,51064,9,982599,
2861841,"Elijah Moore",,WR,DEN,NEP,158397,,0,0,0,0,0,0,0,0,0.06,0.03,0.35,0,0.06,0.07,0.05,0.35,0,0,0,0.35,0,0,0,0.12,,,0.13,0.61%,MAIN,1128783,61372,10,2861841,
36968,"Evan Engram",,TE,DEN,NEP,158397,,0,0,0,0,0,0,0,0,3.71,2.46,22.7,0.14,5.56,5.54,4.31,22.7,0.14,0,0,22.7,0.14,0,1.47,12.65,2.44,15.96,10.45,13.05%,MAIN,749185,33338,11,36968,
1844770,"Adam Trautman",,TE,DEN,NEP,158397,,0,0,0,0,0,0,0,0,1.44,0.91,8.89,0.05,2.09,2.09,1.63,8.89,0.05,0,0,8.89,0.05,0,0,4.18,0.34,6.2,3.48,1.30%,MAIN,875444,50142,12,1844770,
4773039,"Nate Adkins",,TE,DEN,NEP,158397,,0,0,0,0,0,0,0,0,0.68,0.47,3.66,0.03,1.01,1.01,0.77,3.66,0.03,0,0,3.66,0.03,0,0,2.02,0.02,2.54,1.48,0.58%,MAIN,1132517,147718,13,4773039,
35411,"Wil Lutz",,K,DEN,NEP,158397,,0,0,0,0,0,0,0,0,0,0,0,0,6.81,6.81,6.81,0,0,0,0,0,0,6.11,2.12,12.54,,,0,0.00%,MAIN,700299,26281,14,35411,
18432,"New England Patriots",,DST,NEP,DEN,158397,,0,0,0,0,0,0,0,0,0,0,0,0,7.33,7.33,7.33,0,0,0,0,0,0,0,2.54,13.74,5.54,34.5,32.37,28.83%,MAIN,348,8481,15,18432,
11613,"Matthew Stafford",,QB,LAR,SEA,158398,,34.1,22.08,259.61,1.76,0.68,1.21,1.85,0.02,0,0,0,0,17.72,17.71,17.71,261.46,1.78,261.46,1.78,1.85,0.02,0,10.76,26.74,3.88,38.56,8.43,17.16%,MAIN,323205,6957,16,11613,
3492191,"Kyren Williams",,RB,LAR,SEA,158398,,0,0,0,0,0,15.16,59.09,0.43,2.89,2.1,15.73,0.14,13.14,13.08,12.03,74.82,0.57,59.09,0.43,74.82,0.57,0,6.9,22.61,4.78,28.56,37.62,37.81%,MAIN,1167361,119535,17,3492191,
6228231,"Blake Corum",,RB,LAR,SEA,158398,,0,0,0,0,0,8.45,33.78,0.24,0.88,0.58,4.21,0.04,6.04,6.01,5.72,37.99,0.28,33.78,0.24,37.99,0.28,0,2.66,14.25,0.38,8.76,11.32,10.35%,MAIN,1229540,139489,18,6228231,
3504123,"Ronnie Rivers",,RB,LAR,SEA,158398,,0,0,0,0,0,0.15,0.52,0,0.02,0.02,0.11,0,0.08,0.08,0.07,0.63,0,0.52,0,0.63,0,0,0,0.16,,,0.36,0.52%,MAIN,976804,64709,19,3504123,
18106,"Davante Adams",,WR,LAR,SEA,158398,,0,0,0,0,0,0,0,0,8.4,5.18,64.11,0.38,14.12,14.09,11.5,64.11,0.38,0,0,64.11,0.38,0,7.47,24.75,7.92,35.52,36.11,35.65%,MAIN,611417,926,20,18106,
4687933,"Puka Nacua",,WR,LAR,SEA,158398,,0,0,0,0,0,1.07,5.33,0.04,10.28,7.21,93.57,0.46,21.49,21.44,17.83,98.9,0.5,5.33,0.04,98.9,0.5,0,11.71,32.3,19.4,54.04,66.9,65.11%,MAIN,1162128,93290,21,4687933,
4716168,"Xavier Smith",,WR,LAR,SEA,158398,,0,0,0,0,0,0,0,0,0.68,0.49,6.8,0.03,1.35,1.35,1.1,6.8,0.03,0,0,6.8,0.03,0,0,2.7,0,1.72,1.2,1.07%,MAIN,1137635,131122,22,4716168,
6228229,"Jordan Whittington",,WR,LAR,SEA,158398,,0,0,0,0,0,0,0,0,0.68,0.49,5.66,0.03,1.23,1.24,0.99,5.66,0.03,0,0,5.66,0.03,0,0,2.46,0.02,2.14,1.05,0.83%,MAIN,1163273,91547,23,6228229,
8228750,"Konata Mumpfield",,WR,LAR,SEA,158398,,0,0,0,0,0,0,0,0,1.29,0.71,7.19,0.06,1.78,1.78,1.42,7.19,0.06,0,0,7.19,0.06,0,0,3.56,0.04,2.46,1.21,0.96%,MAIN,1289332,168149,24,8228750,
35670,"Tyler Higbee",,TE,LAR,SEA,158398,,0,0,0,0,0,0,0,0,2.55,1.72,16.96,0.18,4.48,4.47,3.61,16.96,0.18,0,0,16.96,0.18,0,0.06,12.32,2.34,16.16,11.5,12.14%,MAIN,604176,10211,25,35670,
1849846,"Colby Parkinson",,TE,LAR,SEA,158398,,0,0,0,0,0,0,0,0,3.62,2.49,25.09,0.25,6.5,6.48,5.23,25.09,0.25,0,0,25.09,0.25,0,2.11,15.63,6,22.3,18.69,20.89%,MAIN,1060312,42579,26,1849846,
4687936,"Davis Allen",,TE,LAR,SEA,158398,,0,0,0,0,0,0,0,0,0.82,0.55,5.01,0.06,1.41,1.41,1.13,5.01,0.06,0,0,5.01,0.06,0,0,2.82,0.18,6.16,3.17,1.17%,MAIN,1161664,136894,27,4687936,
8223257,"Terrance Ferguson",,TE,LAR,SEA,158398,,0,0,0,0,0,0,0,0,2,1.04,15.48,0.14,3.42,3.41,2.89,15.48,0.14,0,0,15.48,0.14,0,0,9.41,0.62,7.8,5.77,3.52%,MAIN,1286179,170588,28,8223257,
6227784,"Harrison Mevis",,K,LAR,SEA,158398,,0,0,0,0,0,0,0,0,0,0,0,0,7.99,7.99,7.99,0,0,0,0,0,0,7.07,3.28,13.97,,,0,0.00%,MAIN,1213389,137052,29,6227784,
18441,"Seattle Seahawks",,DST,SEA,LAR,158398,,0,0,0,0,0,0,0,0,0,0,0,0,5.69,5.69,5.69,0,0,0,0,0,0,0,1.07,11.96,4.16,29.98,22.31,18.98%,MAIN,361,8490,30,18441,
6228327,"Drake Maye",,QB,NEP,DEN,158397,,31.27,20.56,232.56,1.71,0.55,7.8,32.34,0.25,0,0,0,0,20.69,20.62,20.62,264.9,1.96,264.9,1.96,32.34,0.25,0,13.3,29.81,12.76,62.36,49.88,41.32%,MAIN,1286803,167238,31,6228327,
2861810,"Rhamondre Stevenson",,RB,NEP,DEN,158397,,0,0,0,0,0,10.96,51,0.41,3.87,2.83,21.85,0.17,13.67,13.61,12.19,72.85,0.58,51,0.41,72.85,0.58,0,7.53,22.71,4.02,32.74,35.59,38.22%,MAIN,1174682,93719,32,2861810,
6228318,"Terrell Jennings",,RB,NEP,DEN,158397,,0,0,0,0,0,0.17,0.53,0.01,0.03,0.02,0.16,0,0.15,0.15,0.14,0.69,0.01,0.53,0.01,0.69,0.01,0,0,0.3,,,0.28,0.42%,MAIN,1182082,131129,33,6228318,
8223312,"TreVeyon Henderson",,RB,NEP,DEN,158397,,0,0,0,0,0,8.49,38.34,0.32,2.07,1.57,11.28,0.09,8.97,8.91,8.12,49.62,0.41,38.34,0.32,49.62,0.41,0,4.4,17.59,1.32,16.44,16.54,17.23%,MAIN,1287837,169972,34,8223312,
