PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID
6228327,"Drake Maye",,QB,NEP,SEA,158399,,30.5,20.07,220.06,1.73,0.51,9.83,33.12,0.26,0,0,0,0,20.49,20.4,20.4,253.18,1.99,253.18,1.99,33.12,0.26,0,13.24,29.44,12.52,65.52,54.23,0,MAIN,n/a,167238,1,6228327
2861810,"Rhamondre Stevenson",,RB,NEP,SEA,158399,,0,0,0,0,0,13.99,52.89,0.47,3.87,2.85,21.13,0.18,14.21,14.14,12.71,74.02,0.65,52.89,0.47,74.02,0.65,0,7.55,24.13,4.9,33.3,36.29,0,MAIN,n/a,93719,2,2861810
8223312,"TreVeyon Henderson",,RB,NEP,SEA,158399,,0,0,0,0,0,4.75,17.43,0.16,1.62,1.23,8.53,0.08,5.27,5.24,4.62,25.96,0.24,17.43,0.16,25.96,0.24,0,2.46,10.85,0.64,13.56,13.28,0,MAIN,n/a,169972,3,8223312
1247803,"D'Ernest Johnson",,RB,NEP,SEA,158399,,0,0,0,0,0,0.11,0.41,0,0.03,0.02,0.19,0,0.08,0.08,0.07,0.6,0,0.41,0,0.6,0,0,0,0.16,,,0.24,0,MAIN,n/a,88158,4,1247803
21625,"Stefon Diggs",,WR,NEP,SEA,158399,,0,0,0,0,0,0,0,0,6.1,4.09,47.48,0.39,11.46,11.44,9.39,47.48,0.39,0,0,47.48,0.39,0,5.37,20.31,10.32,37.66,33.34,0,MAIN,n/a,8606,5,21625
36971,"Mack Hollins",,WR,NEP,SEA,158399,,0,0,0,0,0,0,0,0,4.1,2.57,31.17,0.26,7.28,7.27,5.98,31.17,0.26,0,0,31.17,0.26,0,2.58,15.48,3.1,25.56,16.11,0,MAIN,n/a,33548,6,36971
4688005,"Kayshon Boutte",,WR,NEP,SEA,158399,,0,0,0,0,0,0,0,0,4.22,2.66,32.23,0.27,7.55,7.53,6.2,32.23,0.27,0,0,32.23,0.27,0,2.8,15.56,2.96,23.1,15.93,0,MAIN,n/a,145436,7,4688005
4688003,"Demario Douglas",,WR,NEP,SEA,158399,,0,0,0,0,0,0.03,0.11,0,1.74,1.17,13.09,0.09,3.03,3.02,2.43,13.2,0.09,0.11,0,13.2,0.09,0,0,8.31,0.1,8.42,4.29,0,MAIN,n/a,142312,8,4688003
8223311,"Kyle Williams",,WR,NEP,SEA,158399,,0,0,0,0,0,0,0,0,0.88,0.48,6.8,0.06,1.52,1.52,1.28,6.8,0.06,0,0,6.8,0.06,0,0,3.04,0.1,3.22,1.42,0,MAIN,n/a,145222,9,8223311
35576,"Austin Hooper",,TE,NEP,SEA,158399,,0,0,0,0,0,0,0,0,1.69,1.16,11.79,0.08,2.81,2.8,2.22,11.79,0.08,0,0,11.79,0.08,0,0,7.64,0.44,9.14,5.88,0,MAIN,n/a,26421,10,35576
