PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH
6228327,"Drake Maye",16500,QB,NEP,SEA,158680,,30.5,20.07,224.06,1.73,0.51,9.83,33.12,0.26,0,0,0,0,20.16,1.22,65.52,54.23,0,MAIN,1286803,167238,1,6228327,20.08,20.08,257.18,1.99,257.18,1.99,33.12,0.26,0,8.06,32.26,12.52
2861810,"Rhamondre Stevenson",13200,RB,NEP,SEA,158680,,0,0,0,0,0,13.99,52.89,0.47,3.87,2.85,21.51,0.18,14.36,1.09,33.3,36.29,0,MAIN,1174682,93719,2,2861810,14.28,12.85,74.4,0.65,52.89,0.47,74.4,0.65,0,5.74,22.98,4.9
8223312,"TreVeyon Henderson",5700,RB,NEP,SEA,158680,,0,0,0,0,0,4.75,17.43,0.16,1.62,1.23,8.69,0.08,5.25,0.92,13.56,13.28,0,MAIN,1287837,169972,3,8223312,5.22,4.6,26.12,0.24,17.43,0.16,26.12,0.24,0,2.1,8.4,0.64
1247803,"D'Ernest Johnson",,RB,NEP,SEA,158680,,0,0,0,0,0,0.11,0.41,0,0.03,0.02,0.19,0,0.08,21,,0.24,0,MAIN,839043,88158,4,1247803,0.08,0.07,0.6,0,0.41,0,0.6,0,0,0.03,0.13,
21625,"Stefon Diggs",12900,WR,NEP,SEA,158680,,0,0,0,0,0,0,0,0,6.1,4.09,48.35,0.39,11.42,0.89,37.66,33.34,0,MAIN,694041,8606,5,21625,11.41,9.36,48.35,0.39,0,0,48.35,0.39,0,4.57,18.27,10.32
36971,"Mack Hollins",5400,WR,NEP,SEA,158680,,0,0,0,0,0,0,0,0,4.1,2.57,31.73,0.26,7.29,1.35,25.56,16.11,0,MAIN,702808,33548,6,36971,7.28,5.99,31.73,0.26,0,0,31.73,0.26,0,2.92,11.66,3.1
4688005,"Kayshon Boutte",8400,WR,NEP,SEA,158680,,0,0,0,0,0,0,0,0,4.22,2.66,32.85,0.27,7.55,0.9,23.1,15.93,0,MAIN,1213362,145436,7,4688005,7.53,6.2,32.85,0.27,0,0,32.85,0.27,0,3.02,12.08,2.96
4688003,"Demario Douglas",4800,WR,NEP,SEA,158680,,0,0,0,0,0,0.03,0.11,0,1.74,1.17,13.33,0.09,3.05,0.64,8.42,4.29,0,MAIN,1175693,142312,8,4688003,3.04,2.45,13.44,0.09,0.11,0,13.44,0.09,0,1.22,4.88,0.1
8223311,"Kyle Williams",4200,WR,NEP,SEA,158680,,0,0,0,0,0,0,0,0,0.88,0.48,6.93,0.06,1.53,0.36,3.22,1.42,0,MAIN,1227157,145222,9,8223311,1.53,1.29,6.93,0.06,0,0,6.93,0.06,0,0.61,2.45,0.1
35576,"Austin Hooper",3000,TE,NEP,SEA,158680,,0,0,0,0,0,0,0,0,1.69,1.16,12,0.08,2.83,0.94,9.14,5.88,0,MAIN,739424,26421,10,35576,2.82,2.24,12,0.08,0,0,12,0.08,0,1.13,4.53,0.44
35634,"Hunter Henry",10500,TE,NEP,SEA,158680,,0,0,0,0,0,0,0,0,6.1,4.07,45.33,0.3,10.89,1.04,31.96,30.27,0,MAIN,744425,26343,11,35634,10.85,8.81,45.33,0.3,0,0,45.33,0.3,0,4.36,17.42,11.84
6228548,"Jack Westover",,TE,NEP,SEA,158680,,0,0,0,0,0,0,0,0,0.15,0.09,0.86,0.01,0.24,21,0.1,0.54,0,MAIN,1121863,136262,12,6228548,0.24,0.19,0.86,0.01,0,0,0.86,0.01,0,0.1,0.38,0
8228810,"Andres Borregales",7500,K,NEP,SEA,158680,,0,0,0,0,0,0,0,0,0,0,0,0,7.52,1,,0,0,MAIN,1286810,167128,13,8228810,7.52,7.52,0,0,0,0,0,0,6.71,3.01,12.03,
18441,"Seattle Seahawks",6600,DST,SEA,NEP,158680,,0,0,0,0,0,0,0,0,0,0,0,0,5.62,0.85,29.78,22.71,0,MAIN,361,8490,14,18441,5.62,5.62,0,0,0,0,0,0,0,2.25,8.99,4.3
328423,"Sam Darnold",16200,QB,SEA,NEP,158680,,29.94,19.05,227.97,1.67,0.51,2.35,5.63,0.05,0,0,0,0,16.13,1,41.9,10.66,0,MAIN,880026,76998,15,328423,16.1,16.1,233.6,1.72,233.6,1.72,5.63,0.05,0,6.45,25.81,3.54
3492251,"Kenneth Walker III",14700,RB,SEA,NEP,158680,,0,0,0,0,0,19.24,74.47,0.82,3.27,2.36,21.21,0.07,18.05,1.23,60.92,76.84,0,MAIN,1164402,33516,16,3492251,17.95,16.77,95.68,0.89,74.47,0.82,95.68,0.89,0,7.22,28.88,18.78
6228549,"George Holani",3600,RB,SEA,NEP,158680,,0,0,0,0,0,2.76,10.67,0.12,1.6,1.03,8.42,0.03,3.82,1.06,3.68,5.05,0,MAIN,1180625,139544,17,6228549,3.82,3.3,19.09,0.15,10.67,0.12,19.09,0.15,0,1.53,6.11,0.06
