PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
17453,"Jake McCabe",6000,D,TOR,PIT,8402820,660793,2,,,0.0512,0.3101,0.9006,2.0975,0,0,0,0,0,0,0.3613,0,7.19,1.2,5.65,8.15,1,1.34,14.42,0,,17453,2.193,5.64,21.7,164,2146,30280,1
2578776,"Justin Brazeau",5400,W,PIT,TOR,8402820,956418,2,2,,0.2081,0.2317,1.4708,0.5177,0,0,0,0,0.0302,0.0428,0.4398,0.073,6.1,1.13,6.41,9.07,2,0,14.3,0,,2578776,1.856,5.13,13.2,159,1927,82518,0
34611,"Anthony Mantha",7000,W,PIT,TOR,8402820,741457,2,1,,0.2555,0.3329,1.8894,0.4688,0,0,0,0,0.0702,0.1103,0.5884,0.1805,7.68,1.1,6.82,9.75,3,0.61,16.41,0,,34611,0.963,5.79,16.1,159,1927,30621,0
34598,"Noel Acciari",2000,W,PIT,TOR,8402820,873205,4,,,0.1001,0.107,0.8986,0.8875,0,0,0,0,0,0,0.2071,0,4.25,2.13,5.04,7.09,4,0,10.7,0,,34598,1.87,3.75,12.7,159,1927,31008,0
18468,"Kevin Hayes",3400,C,PIT,TOR,8402820,550774,4,2,,0.1633,0.2036,1.549,0.2305,0,0,0,0,0.0258,0.044,0.3669,0.0698,5.23,1.54,5.9,8.36,5,0,12.78,0,,18468,0.857,4.04,12.5,159,1927,30388,0
14202,"Sidney Crosby",10000,C,PIT,TOR,8402820,296786,1,1,,0.365,0.5566,2.3443,0.4055,0,0,0,0,0.1001,0.159,0.9216,0.2591,10.6,1.06,8.76,12.64,6,1.52,21.81,0,,14202,1.009,7.8,19.3,159,1927,30424,0
18682,"Bryan Rust",9000,W,PIT,TOR,8402820,554539,1,1,,0.3524,0.389,2.4408,0.7295,0,0,0,0,0.0849,0.1187,0.7414,0.2036,10.28,1.14,8.27,11.75,7,1.71,20.87,0,,18682,0.828,7.36,20.1,159,1927,30873,0
794229,"Philippe Myers",2200,D,TOR,PIT,8402820,892768,1,,,0.0322,0.1448,0.8899,1.0713,0,0,0,0,0,0,0.177,0,4.18,1.9,4.61,6.47,8,0,10.08,0,,794229,1.443,3.46,12.7,164,2146,83287,1
14456,"Erik Karlsson",8400,D,PIT,TOR,8402820,456827,1,1,,0.1355,0.5394,2.0293,1.0371,0,0,0,0,0.0612,0.1672,0.6749,0.2284,8.93,1.06,7.06,10.34,9,1.62,17.97,0,,14456,0.551,6.43,23.9,159,1927,30218,0
18812,"Brett Kulak",2000,D,PIT,TOR,8402820,681417,2,,,0.0452,0.1842,1.1666,1.1639,0,0,0,0,0,0,0.2294,0,5.08,2.54,4.82,6.8,10,0.09,11.25,0,,18812,0.802,3.74,17.4,159,1927,30330,0
556145,"Simon Benoit",2000,D,TOR,PIT,8402820,1139762,3,,,0.0237,0.1319,0.647,1.4156,0,0,0,0,0,0,0.1556,0,4.33,2.17,4.62,6.49,11,0,10.24,0,,556145,2.549,4.01,16.1,164,2146,83042,1
37726,"Stuart Skinner",9400,G,PIT,TOR,8402820,1057186,,,B,0,0,0,0,0.4484,23.8167,3.2618,0.0432,0,0,0,0,9.53,1.01,8.58,10.8,12,0.64,20.51,0,,37726,0,7.2,,159,1927,83388,0
5274086,"Jack St. Ivany",2000,D,PIT,TOR,8402820,1121582,3,,,0.0249,0.1439,0.7154,1.1656,0,0,0,0,0,0,0.1688,0,4.01,2.01,4.58,6.44,13,0,9.87,0,,5274086,1.599,3.41,14.2,159,1927,243384,0
4598299,"Matthew Knies",8000,W,TOR,PIT,8402820,1321672,1,1,,0.3149,0.4232,1.9355,0.5049,0,0,0,0,0.0663,0.0951,0.7381,0.1614,8.83,1.1,7.54,10.84,14,1.02,18.48,0,,4598299,2.483,7.34,19.4,164,2146,165026,1
4256179,"Bobby McMann",5000,W,TOR,PIT,8402820,1384791,3,,,0.2101,0.1797,1.6662,0.3336,0,0,0,0,0,0,0.3898,0,5.87,1.17,6.32,8.85,15,0,13.96,0,,4256179,1.851,4.9,12.8,164,2146,246344,1
4640616,"Ville Koivunen",2000,W,PIT,TOR,8402820,1321662,3,,,0.0988,0.2001,1.1179,0.4318,0,0,0,0,0,0,0.2989,0,4.28,2.14,5.33,7.63,16,0,11.1,0,,4640616,0.637,3.26,12.1,159,1927,164964,0
415294,"Connor Dewar",2000,W,PIT,TOR,8402820,1121552,4,,,0.1288,0.1466,1.2938,0.5166,0,0,0,0,0,0,0.2754,0,4.69,2.35,5.08,7.11,17,0,11.19,0,,415294,2.221,4.28,13.3,159,1927,75442,0
1280041,"Matias Maccelli",2400,W,TOR,PIT,8402820,1172295,2,2,,0.1706,0.421,1.3037,0.2638,0,0,0,0,0.0355,0.1142,0.5916,0.1497,6.08,2.53,6.49,9.48,18,0,14.39,0,,1280041,0.411,4.56,14.8,164,2146,92032,1
