PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
18467,"Anthony Duclair",3800,W,NYI,BUF,8405110,743259,1,2,,0.2716,0.3595,1.8058,0.5001,0,0,0,0,0.0582,0.1054,0.6311,0.1636,7.87,2.07,7.3,10.42,1,0.31,17.21,0,,18467,0.575,5.74,16,156,2135,30344,1
36584,"Clayton Keller",7000,W,UTA,NSH,8405160,920216,1,1,,0.3891,0.6351,2.7012,0.4066,0,0,0,0,0.1151,0.2356,1.0242,0.3507,11.92,1.7,8.87,12.73,2,2.73,23.27,0,,36584,0.307,8.31,19.1,183,2005,32089,0
4200188,"Nick Blankenburg",2800,D,NSH,UTA,8405160,1382727,3,2,,0.0821,0.2914,1.2161,1.0919,0,0,0,0,0.0261,0.0906,0.3735,0.1167,5.9,2.11,5.67,8.11,3,0.03,13.16,0,,4200188,1.038,4.54,17.5,173,1959,184512,1
14246,"Casey Cizikas",2500,C,NYI,BUF,8405110,521884,4,,,0.1098,0.1257,0.9229,0.5886,0,0,0,0,0,0,0.2355,0,3.96,1.58,4.99,7.03,4,0,10.35,0,,14246,1.785,3.57,11.1,156,2135,30928,1
1394916,"Noah Ostlund",3100,C,BUF,NYI,8405110,1394916,3,1,,0.1946,0.2962,1.221,0.4918,0,0,0,0,0.0505,0.0926,0.4908,0.1431,5.88,1.9,6.02,8.63,5,0,13.59,0,,1394916,0.409,4.34,14.7,161,2004,204710,0
31735,"Bo Horvat",7600,C,NYI,BUF,8405110,741412,2,1,,0.4429,0.4187,2.8794,0.4496,0,0,0,0,0.0981,0.1107,0.8616,0.2088,11.63,1.53,8.92,12.6,6,2.39,23.05,0,,31735,0.938,8.23,18.7,156,2135,31049,1
35781,"Mikhail Sergachev",5600,D,UTA,NSH,8405160,920218,1,1,,0.143,0.6155,1.9014,1.8247,0,0,0,0,0.0694,0.2733,0.7585,0.3427,10.69,1.91,7.08,10.39,7,3.36,19.75,0,,35781,0.908,7.67,23.8,183,2005,31482,0
36587,"Tyson Jost",2500,W,NSH,UTA,8405160,920219,4,,,0.0941,0.157,0.9909,0.3687,0,0,0,0,0,0,0.2511,0,3.72,1.49,4.96,7.01,8,0,10.07,0,,36587,1.058,3.08,11.1,173,1959,32100,1
14207,"Steven Stamkos",5100,W,NSH,UTA,8405160,456624,2,1,,0.391,0.3987,2.0274,0.4421,0,0,0,0,0.1471,0.1598,0.7897,0.3069,9.45,1.85,8.72,12.45,9,0.42,20.61,0,,14207,0.9,7.01,16.9,173,1959,30516,1
2296308,"Justin Barron",2500,D,NSH,UTA,8405160,1248092,3,,,0.0475,0.1625,0.738,1.0614,0,0,0,0,0,0,0.21,0,4.15,1.66,4.74,6.74,10,0,10.22,0,,2296308,1.02,3.24,14.7,173,1959,158708,1
18503,"Jonathan Drouin",2900,W,NYI,BUF,8405110,741406,2,1,,0.1447,0.4402,1.3624,0.333,0,0,0,0,0.0369,0.1343,0.5849,0.1712,6.16,2.12,6.39,9.45,11,0,14.34,0,,18503,0.466,4.64,15.6,156,2135,30507,1
34482,"Juuse Saros",7500,G,NSH,UTA,8405160,744805,,,C,0,0,0,0,0.495,24.2679,3.1612,0.0485,0,0,0,0,10.33,1.38,8.6,10.87,12,1.42,21.34,0,,34482,0,8.05,,173,1959,29995,1
17281,"Jason Zucker",4700,W,BUF,NYI,8405110,554508,2,1,,0.2798,0.3424,1.9942,0.3005,0,0,0,0,0.0815,0.1101,0.6222,0.1916,7.86,1.67,7.37,10.47,13,0.22,17.29,0,,17281,1.13,6,15.9,161,2004,30296,0
2299315,"Luke Evangelista",4600,W,NSH,UTA,8405160,1248153,1,1,,0.2456,0.4872,2.1862,0.2925,0,0,0,0,0.0791,0.1857,0.7328,0.2648,8.65,1.88,7.41,10.72,14,0.97,18.13,0,,2299315,0.493,6.28,17.5,173,1959,158651,1
2295850,"Jack Quinn",3600,W,BUF,NYI,8405110,1248076,2,2,,0.2473,0.3378,1.9899,0.3934,0,0,0,0,0.0333,0.055,0.5851,0.0883,7.69,2.14,6.9,9.82,15,0.54,16.52,0,,2295850,0.685,5.6,15.4,161,2004,158556,0
2296552,"Ozzy Wiesblatt",2500,W,NSH,UTA,8405160,1248098,4,,,0.0716,0.1165,0.6682,0.4045,0,0,0,0,0,0,0.1881,0,2.89,1.16,4.42,6.28,16,0,8.55,0,,2296552,1.669,2.8,10.4,173,1959,158722,1
2299078,"Emil Heineman",4300,W,NYI,BUF,8405110,1248154,2,2,,0.2996,0.2591,2.0804,0.5592,0,0,0,0,0.0639,0.0644,0.5587,0.1283,8.16,1.9,7.2,10.16,17,0.7,17.38,0,,2299078,3.057,7.07,16.7,156,2135,158640,1
10148334,"Max Shabanov",2600,W,NYI,BUF,8405110,1349311,3,,,0.1217,0.2075,1.1186,0.3103,0,0,0,0,0,0,0.3292,0,4.32,1.66,5.32,7.61,18,0,11.13,0,,10148334,0.725,3.35,11.1,156,2135,624202,1
9011929,"Matthew Schaefer",6100,D,NYI,BUF,8405110,1562161,1,1,,0.2025,0.4731,2.5924,1.3303,0,0,0,0,0.0718,0.1603,0.6756,0.2321,10.75,1.76,7.64,10.94,19,2.83,20.53,0,,9011929,0.873,7.58,23.8,156,2135,622914,1
34441,"Adam Pelech",3200,D,NYI,BUF,8405110,680616,2,,,0.062,0.2652,1.5589,1.5758,0,0,0,0,0,0,0.3272,0,7.04,2.2,5.45,7.72,20,1.39,14.02,0,,34441,1.162,5.15,21.6,156,2135,30063,1
2299314,"Adam Wilsby",2500,D,NSH,UTA,8405160,1248662,2,,,0.0417,0.1801,0.9346,1.1548,0,0,0,0,0,0,0.2218,0,4.65,1.86,4.78,6.77,21,0,10.77,0,,2299314,0.864,3.49,18.3,173,1959,158649,1
37725,"Kailer Yamamoto",2500,W,UTA,NSH,8405160,1057131,1,2,,0.1788,0.2339,1.2071,0.3912,0,0,0,0,0.0206,0.0425,0.4127,0.0631,5.23,2.09,5.84,8.32,22,0,12.71,0,,37725,0.883,4.08,13.9,183,2005,37911,0
4200012,"Dylan Guenther",7600,W,UTA,NSH,8405160,1321462,3,1,,0.4647,0.4124,3.2958,0.4903,0,0,0,0,0.1505,0.1442,0.8771,0.2947,12.75,1.68,9.7,13.63,23,2.7,25.17,0,,4200012,0.851,8.8,17.2,183,2005,165064,0
2298912,"JJ Peterka",4500,W,UTA,NSH,8405160,1207612,2,2,,0.2833,0.3442,1.9162,0.2628,0,0,0,0,0.0405,0.0602,0.6275,0.1007,7.69,1.71,7.28,10.4,24,0.15,17.01,0,,2298912,0.441,5.53,15.3,183,2005,158555,0
36276,"Liam O'Brien",2500,W,UTA,NSH,8405160,849162,4,,,0.0663,0.0927,0.8299,0.377,0,0,0,0,0,0,0.159,0,2.93,1.17,4.44,6.29,25,0,8.61,0,,36276,2.325,3.14,9,183,2005,30366,0
35879,"David Rittich",7800,G,NYI,BUF,8405110,918210,,,C,0,0,0,0,0.5238,23.1342,3.1511,0.0491,0,0,0,0,9.61,1.23,8.12,10.37,26,1.2,20,0,,35879,0,7.57,,156,2135,31551,1
2555471,"Cole Smith",2500,W,NSH,UTA,8405160,1213994,3,,,0.1158,0.1672,1.1477,0.3873,0,0,0,0,0,0,0.283,0,4.24,1.7,5.15,7.31,27,0,10.83,0,,2555471,2.758,4.28,15,173,1959,161679,1
6417673,"Konsta Helenius",2800,W,BUF,NYI,8405110,1498355,3,,,0.1547,0.191,1.2332,0.447,0,0,0,0,0,0,0.3457,0,4.93,1.76,5.21,7.36,28,0,11.6,0,,6417673,0.93,3.84,11.7,161,2004,449341,0
14422,"Ian Cole",2700,D,UTA,NSH,8405160,392959,3,,,0.0288,0.1872,0.7341,2.0148,0,0,0,0,0,0,0.216,0,5.95,2.2,5.01,7.03,29,0.76,12.36,0,,14422,1.125,4.23,17.9,183,2005,30423,0
415262,"Ryan McLeod",3700,C,BUF,NYI,8405110,1121496,2,2,,0.2206,0.3553,1.3575,0.441,0,0,0,0,0.0261,0.0518,0.5759,0.0779,6.55,1.77,6.7,9.65,30,0,15.13,0,,415262,0.462,4.81,18,161,2004,75458,0
4900339,"Zach Benson",3400,W,BUF,NYI,8405110,1453003,3,2,,0.18,0.3175,1.6001,0.4127,0,0,0,0,0.0247,0.0565,0.4975,0.0812,6.34,1.86,6.3,9.07,31,0,14.4,0,,4900339,0.568,4.69,15.2,161,2004,260545,0
1279789,"Bowen Byram",3500,D,BUF,NYI,8405110,1172186,2,2,,0.1098,0.3674,1.2204,1.5068,0,0,0,0,0.0191,0.0657,0.4772,0.0848,7.33,2.09,6.3,9.14,32,0.8,15.39,0,,1279789,1.075,5.44,23.3,161,2004,92118,0
4579471,"Josh Doan",5200,W,BUF,NYI,8405110,1321599,1,1,,0.2936,0.3634,2.1003,0.3795,0,0,0,0,0.0836,0.0993,0.657,0.1829,8.41,1.62,7.6,10.88,33,0.54,18.14,0,,4579471,0.939,6.26,16.4,161,2004,165059,0
1278992,"Kyle MacLean",2500,W,NYI,BUF,8405110,1139989,4,,,0.0952,0.1393,0.9136,0.3185,0,0,0,0,0,0,0.2345,0,3.44,1.38,4.95,7,34,0,9.78,0,,1278992,1.483,3.1,10.3,156,2135,83306,1
37902,"Nick DeSimone",2500,D,UTA,NSH,8405160,977030,3,,,0.046,0.1681,1.0237,1.0615,0,0,0,0,0,0,0.2141,0,4.6,1.84,4.82,6.8,35,0,10.77,0,,37902,0.831,3.45,14.2,183,2005,38122,0
4200617,"Nick Perbix",2500,D,NSH,UTA,8405160,1057886,2,,,0.0516,0.2268,0.9099,1.2653,0,0,0,0,0,0,0.2784,0,5.14,2.06,5.02,7.16,36,0,11.57,0,,4200617,0.886,3.84,19.4,173,1959,246147,1
414733,"Mattias Samuelsson",3600,D,BUF,NYI,8405110,1121488,1,,,0.0723,0.2521,1.2603,2.0694,0,0,0,0,0,0,0.3244,0,7.55,2.1,5.49,7.78,37,1.86,14.58,0,,414733,1.929,5.74,23,161,2004,75382,0
36302,"Alex Tuch",6300,W,BUF,NYI,8405110,831083,1,2,,0.3509,0.4281,2.2275,1.1384,0,0,0,0,0.0317,0.0557,0.779,0.0874,10.8,1.71,8.22,11.73,38,2.28,21.32,0,,36302,0.99,7.72,18.6,161,2004,31880,0
4900460,"Calum Ritchie",2800,C,NYI,BUF,8405110,1453028,4,1,,0.1907,0.2454,1.4891,0.3997,0,0,0,0,0.0519,0.0885,0.4361,0.1404,5.86,2.09,5.91,8.37,39,0,13.42,0,,4900460,0.526,4.35,12.1,156,2135,260597,1
1280147,"Peyton Krebs",2600,C,BUF,NYI,8405110,1172199,4,,,0.1147,0.2318,0.9681,0.4231,0,0,0,0,0,0,0.3465,0,4.34,1.67,5.3,7.6,40,0,11.12,0,,1280147,1.662,3.84,13,161,2004,91947,0
34831,"Alex Lyon",7600,G,BUF,NYI,8405110,914101,,,C,0,0,0,0,0.5215,25.2975,3.1576,0.0488,0,0,0,0,11.24,1.48,8.6,10.87,41,2.33,22.25,0,,34831,0,8.83,,161,2004,31149,0
415477,"Barrett Hayton",3300,C,UTA,NSH,8405160,1121434,2,1,,0.2248,0.2993,1.9526,0.4818,0,0,0,0,0.0662,0.0947,0.5241,0.1609,7.36,2.23,6.72,9.47,42,0.4,15.96,0,,415477,0.539,5.33,16.2,183,2005,75470,0
4900728,"Matthew Wood",2500,W,NSH,UTA,8405160,1453007,4,2,,0.1632,0.2076,1.2528,0.3394,0,0,0,0,0.0399,0.0643,0.3708,0.1042,4.94,1.98,5.84,8.32,43,0,12.42,0,,4900728,0.71,3.81,11.1,173,1959,260612,1
18846,"Tony DeAngelo",3800,D,NYI,BUF,8405110,831084,2,2,,0.1218,0.4534,2.0851,0.9682,0,0,0,0,0.0441,0.1631,0.5752,0.2072,8.33,2.19,6.67,9.69,44,1.42,16.87,0,,18846,0.666,6.03,20.1,156,2135,30506,1
5278050,"Zach Metsa",2500,D,BUF,NYI,8405110,1481783,3,,,0.0151,0.1178,0.461,0.889,0,0,0,0,0,0,0.1329,0,2.92,1.17,4.47,6.34,45,0,8.64,0,,5278050,0.53,2.18,9.8,161,2004,290476,0
4900287,"Daniil But",2700,W,UTA,NSH,8405160,1420778,2,2,,0.1768,0.2217,1.573,0.5818,0,0,0,0,0.0296,0.0481,0.3985,0.0777,6.05,2.24,5.93,8.39,46,0,13.64,0,,4900287,0.836,4.56,13,183,2005,260549,0
1282856,"John Marino",3000,D,UTA,NSH,8405160,878330,2,,,0.0477,0.3037,0.8684,1.2886,0,0,0,0,0,0,0.3514,0,5.48,1.83,5.47,7.96,47,0,12.48,0,,1282856,0.633,3.97,20.1,183,2005,88877,0
1283249,"Beck Malenstyn",2500,W,BUF,NYI,8405110,920471,4,,,0.0793,0.0889,0.8547,0.7512,0,0,0,0,0,0,0.1682,0,3.68,1.47,4.53,6.38,48,0,9.48,0,,1283249,2.247,3.56,10.4,161,2004,82966,0
35837,"Nick Schmaltz",6300,C,UTA,NSH,8405160,831085,1,1,,0.332,0.5351,2.2703,0.5955,0,0,0,0,0.0903,0.1601,0.8671,0.2504,10.36,1.64,8.68,12.58,49,1.37,21.47,0,,35837,0.337,7.29,19.7,183,2005,31457,0
4200059,"Owen Power",3300,D,BUF,NYI,8405110,1284851,2,,,0.0671,0.2874,1.2811,1.2712,0,0,0,0,0,0,0.3545,0,6.18,1.87,5.31,7.58,50,0.68,12.98,0,,4200059,0.543,4.38,20.2,161,2004,164978,0
415266,"Michael Kesselring",2500,D,BUF,NYI,8405110,1121634,3,,,0.0565,0.1842,1.236,0.8765,0,0,0,0,0,0,0.2407,0,4.78,1.91,4.82,6.79,51,0,10.95,0,,415266,0.961,3.67,15,161,2004,75462,0
707919,"Michael Bunting",3500,W,NSH,UTA,8405160,831471,2,2,,0.2472,0.3007,1.6306,0.2916,0,0,0,0,0.0436,0.0703,0.5479,0.1139,6.7,1.91,6.74,9.69,52,0,15.33,0,,707919,0.776,5.05,15.1,173,1959,76673,1
415040,"Adam Boqvist",2500,D,NYI,BUF,8405110,1121437,3,,,0.0461,0.1913,0.8067,0.8225,0,0,0,0,0,0,0.2374,0,3.96,1.58,4.7,6.69,53,0,9.98,0,,415040,0.599,2.97,13.9,156,2135,75488,1
31725,"Ryan O'Reilly",5300,C,NSH,UTA,8405160,522130,1,1,,0.3382,0.5595,1.8311,0.767,0,0,0,0,0.096,0.1737,0.8977,0.2697,10,1.89,8.62,12.54,54,1.07,21.03,0,,31725,0.391,7.2,20.6,173,1959,30752,1
31845,"Jonathan Marchessault",3200,W,NSH,UTA,8405160,656044,3,2,,0.2648,0.3153,1.9731,0.2673,0,0,0,0,0.0546,0.0877,0.5801,0.1423,7.49,2.34,7.37,10.47,55,0,16.92,0,,31845,1.085,5.7,15.4,173,1959,30821,1
17369,"Anders Lee",4900,W,NYI,BUF,8405110,729821,1,2,,0.3564,0.3099,2.7077,0.4644,0,0,0,0,0.0772,0.0584,0.6663,0.1356,9.96,2.03,8.15,11.44,56,1.52,20.39,0,,17369,1.456,7.35,16.3,156,2135,30049,1
17954,"Scott Mayfield",2600,D,NYI,BUF,8405110,607578,1,,,0.0486,0.209,1.1279,1.6596,0,0,0,0,0,0,0.2576,0,6.17,2.37,5.14,7.28,57,0.84,12.75,0,,17954,1.444,4.64,20.2,156,2135,30772,1
35730,"Mathew Barzal",6500,C,NYI,BUF,8405110,878047,1,2,,0.2572,0.6499,2.3565,0.5795,0,0,0,0,0.0548,0.1629,0.9071,0.2177,10.44,1.61,8.22,12.04,58,1.92,20.96,0,,35730,0.665,7.52,19.2,156,2135,30065,1
555808,"Kevin Stenlund",2500,C,UTA,NSH,8405160,878179,4,,,0.1341,0.1417,1.0708,0.7193,0,0,0,0,0,0,0.2758,0,4.7,1.88,5.05,7.09,59,0,11.16,0,,555808,0.714,3.52,13.9,183,2005,83016,0
