PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,OWNERSHIP
31730,"Alexander Wennberg",3300,C,SWE,ITA,,741444,4,,,0.1254,0.2907,0.698,0.5674,0,0,0,0,0,0,0.4161,0,4.56,1.38,5.44,7.91,1,0,11.52,0.7,,31730,0.354,3.36,14.1,,,30199,1,
16719,"Olli Maatta",2600,D,FIN,SVK,,659868,3,,,0.0208,0.1395,0.5318,0.8473,0,0,0,0,0,0,0.1603,0,3.11,1.2,4.5,6.36,2,0,8.87,0.3,,16719,0.45,2.29,12.7,,,30432,1,
915728,"Nick Saracino",3300,W,ITA,SWE,,915728,1,2,,0.074,0.0978,1.5093,0.5611,0,0,0,0,0,0,0.1718,0,4.39,1.33,4.68,6.5,3,0,10.38,4,,915728,0,2.91,,,,,1,
16700,"Rasmus Ristolainen",3700,D,FIN,SVK,,741411,2,,,0.0573,0.2087,1.4563,1.4115,0,0,0,0,0,0,0.266,0,6.23,1.68,5.18,7.29,4,0.86,12.86,7.3,,16700,1.559,4.83,18.5,,,31067,1,
736309,"Thomas Larkin",2900,D,ITA,SWE,,736309,1,2,,0.0254,0.0909,1.2856,1.7125,0,0,0,0,0,0,0.1163,0,5.67,1.96,4.86,6.72,5,0.64,11.89,9,,736309,0,3.51,,,,,1,
612967,"Peter Ceresnak",2700,D,SVK,FIN,,612967,3,2,,0.0236,0.0753,0.6683,0.8481,0,0,0,0,0,0,0.0989,0,3.02,1.12,4.35,6.09,6,0,8.59,0,,612967,0,1.96,,,,,1,40
2296000,"Anton Lundell",4500,C,FIN,SVK,,1248081,3,,,0.2362,0.2868,1.9765,0.5112,0,0,0,0,0,0,0.523,0,7.48,1.66,6.73,9.48,7,0.51,16.09,17.3,,2296000,1.037,5.57,14.8,,,158644,1,
14516,"Jacob Markstrom",8400,G,SWE,ITA,,547717,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,8,-0.6,0.74,0,,14516,0,0,,,,30346,1,40
34544,"Esa Lindell",4100,D,FIN,SVK,,680652,1,,,0.0687,0.247,1.2033,1.8612,0,0,0,0,0,0,0.3157,0,6.99,1.7,5.31,7.44,9,1.49,13.79,11.7,,34544,0.89,4.91,21.6,,,30528,1,
1418395,"Cristiano DiGiacinto",3600,W,ITA,SWE,,1418395,4,,,0.0426,0.0563,0.8685,0.3229,0,0,0,0,0,0,0.0989,0,2.51,0.7,4.33,6.05,10,0,8.05,0,,1418395,0,1.67,,,,,1,40
