PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID,OWNERSHIP
942480,"Cale Makar",,D,CAN,CZE,,1057102,1,1,,0.2734,0.7575,3.297,0,0,0,0,0,0.1315,0.3316,1.0309,0.4631,12.12,2.96,23.44,28.67,,942480,0.739,8.57,21.6,,,87789,1,8.84,12.75,1,
31733,"Connor McDavid",,C,CAN,CZE,,878032,1,1,,0.517,0.9932,4.0112,0,0,0,0,0,0.1395,0.3746,1.5102,0.5141,17.17,5.57,31.51,55.33,,31733,0.738,11.71,17.7,,,31006,1,11.2,16.19,2,
17128,"Tom Wilson",,W,CAN,CZE,,659860,1,,,0.2364,0.2237,1.8553,0,0,0,0,0,0,0,0.4601,0,6.08,0,14.34,2,,17128,2.306,5.32,13,,,30148,1,6.45,9.09,3,
35733,"Devon Toews",,D,CAN,CZE,,831460,1,,,0.0956,0.375,1.8635,0,0,0,0,0,0,0,0.4706,0,5.65,0,13.59,15.67,,35733,0.775,4.32,18.5,,,83302,1,6.2,9,4,
6418266,"Macklin Celebrini",,C,CAN,CZE,,1497708,1,2,,0.3126,0.4545,3.0661,0,0,0,0,0,0.055,0.0948,0.7671,0.1498,10.27,1.93,20.57,14,,6418266,0.552,7.11,14.6,,,449320,1,8.05,11.49,5,
16668,"Nathan MacKinnon",,C,CAN,CZE,,741404,2,1,,0.4407,0.7313,4.3714,0,0,0,0,0,0.1367,0.2704,1.172,0.4071,15.69,5.37,28.44,35,,16668,0.613,10.45,16.4,,,30677,1,9.96,14.22,6,
31680,"Colton Parayko",,D,CAN,CZE,,680852,3,,,0.0667,0.1854,1.4131,0,0,0,0,0,0,0,0.2521,0,3.69,0,9.83,5,,31680,1.126,3.12,18.8,,,30565,1,4.8,6.75,7,
37779,"Nick Suzuki",,C,CAN,CZE,,1057111,2,,,0.1763,0.274,1.5283,0,0,0,0,0,0,0,0.4503,0,5.26,0,13.02,0.67,,37779,0.655,4.01,12.7,,,40159,1,6.06,8.66,8,
1279531,"Brandon Hagel",,W,CAN,CZE,,920496,2,,,0.3213,0.3017,2.4223,0,0,0,0,0,0,0,0.623,0,8.27,0,18.54,7.33,,1279531,0.618,5.87,13.7,,,92058,1,8.02,11.33,9,
34600,"Josh Morrissey",,D,CAN,CZE,,741443,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,34600,0.724,0.36,21.3,,,30599,1,1.15,1.15,10,39
17172,"Mark Stone",,W,CAN,CZE,,556369,3,2,,0.2562,0.4042,1.8965,0,0,0,0,0,0.0473,0.089,0.6604,0.1363,7.28,0,16.3,2,,17172,0.474,5.36,13.8,,,31019,1,7.05,10.17,11,
14383,"Drew Doughty",,D,CAN,CZE,,456625,2,,,0.0645,0.2016,1.283,0,0,0,0,0,0,0,0.2661,0,3.52,0,9.8,2,,14383,0.882,2.92,18.6,,,29920,1,4.91,7.02,12,
14202,"Sidney Crosby",,C,CAN,CZE,,296786,3,1,,0.3391,0.5042,2.6258,0,0,0,0,0,0.1163,0.1759,0.8433,0.2922,9.91,1.15,20.74,20.33,,14202,0.728,7.19,15.3,,,30424,1,8.46,12.13,13,
1283915,"Thomas Harley",,D,CAN,CZE,,1172200,2,,,0.0917,0.234,1.628,0,0,0,0,0,0,0,0.3257,0,4.48,0,11.42,7,,1283915,0.65,3.44,17.5,,,92099,1,5.42,7.7,14,
35796,"Mitch Marner",,C,CAN,CZE,,878035,3,2,,0.2242,0.5639,1.9659,0,0,0,0,0,0.0379,0.1251,0.7881,0.163,7.97,0,17.85,16,,35796,0.52,5.91,13.4,,,30483,1,7.72,11.28,15,
18501,"Shea Theodore",,D,CAN,CZE,,741466,3,2,,0.0958,0.3791,2.0145,0,0,0,0,0,0.027,0.112,0.4749,0.139,5.93,0,13.99,10,,18501,0.293,4.32,20.1,,,30663,1,6.3,9.08,16,
