PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID
942480,"Cale Makar",,D,CAN,FRA,,1057102,1,1,,0.4388,1.2262,3.5058,0,0,0,0,0,0.2062,0.5204,1.665,0.7266,16.83,5.56,30.76,0,,942480,0.719,11.77,19.3,,,87789,1,10.88,15.98,1
31733,"Connor McDavid",,C,CAN,FRA,,878032,1,1,,0.8111,1.5595,4.2732,0,0,0,0,0,0.2187,0.5877,2.3706,0.8064,23.9,10.12,40.92,0,,31733,0.738,16.15,17.7,,,31006,1,13.3,19.22,2
17128,"Tom Wilson",,W,CAN,FRA,,659860,1,,,0.3709,0.3512,1.9765,0,0,0,0,0,0,0,0.7221,0,8.17,0,18.31,0,,17128,2.307,6.76,13,,,30148,1,7.92,11.25,3
35733,"Devon Toews",,D,CAN,FRA,,831460,1,,,0.1463,0.573,1.9317,0,0,0,0,0,0,0,0.7193,0,7.26,0.14,16.05,0,,35733,0.76,5.48,16.3,,,83302,1,6.87,10.17,4
6418266,"Macklin Celebrini",,C,CAN,FRA,,1497708,1,2,,0.4905,0.7137,3.2666,0,0,0,0,0,0.0862,0.1488,1.2042,0.235,13.77,2.97,27.11,0,,6418266,0.552,9.46,14.6,,,449320,1,10.42,14.93,5
16668,"Nathan MacKinnon",,C,CAN,FRA,,741404,2,1,,0.6915,1.1483,4.6571,0,0,0,0,0,0.2144,0.4242,1.8398,0.6386,21.11,7.8,37.56,0,,16668,0.613,14.03,16.4,,,30677,1,12.85,18.51,6
31680,"Colton Parayko",,D,CAN,FRA,,680852,2,,,0.1024,0.2838,1.4679,0,0,0,0,0,0,0,0.3862,0,4.61,0,11.79,0,,31680,1.106,3.77,16.6,,,30565,1,5.61,8.03,7
37779,"Nick Suzuki",,C,CAN,FRA,,1057111,2,,,0.2766,0.4302,1.6282,0,0,0,0,0,0,0,0.7068,0,7.14,0,16.66,0,,37779,0.655,5.34,12.7,,,40159,1,7.44,10.75,8
1279531,"Brandon Hagel",,W,CAN,FRA,,920496,2,,,0.504,0.4737,2.5804,0,0,0,0,0,0,0,0.9777,0,11.18,1.17,23.54,0,,1279531,0.619,7.81,13.7,,,92058,1,9.66,13.79,9
34600,"Josh Morrissey",,D,CAN,FRA,,741443,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,34600,0.724,0.36,21.3,,,30599,1,1.15,1.15,10
17172,"Mark Stone",,W,CAN,FRA,,556369,3,2,,0.4019,0.6347,2.0203,0,0,0,0,0,0.0741,0.1396,1.0366,0.2137,10.09,0.57,21.85,0,,17172,0.474,7.31,13.8,,,31019,1,9.19,13.29,11
14383,"Drew Doughty",,D,CAN,FRA,,456625,3,,,0.0934,0.2917,1.2598,0,0,0,0,0,0,0,0.3851,0,4.19,0,11.28,0,,14383,0.816,3.4,16.2,,,29920,1,5.54,7.97,12
