,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Santi Aldama,MEM,OKC,F,35.00000,16.79160,10.58150,5.01426,1.06861,0.67710,2.21566,6.16070,13.60065,45.3,2.22417,6.17414,36.0,2.24603,3.28319,68.4,3.59123,6.99027
Trey Alexander,NOP,DAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jarrett Allen,CLE,CHA,C,29.00000,15.16527,12.06657,2.33981,0.97483,1.29117,1.30533,6.21149,9.09300,68.3,0.24494,0.69541,35.2,2.49735,3.50101,71.3,4.33140,7.73517
Jose Alvarado,NOP,DAL,G,20.00000,7.38460,2.91049,2.71362,0.99311,0.10033,1.01068,2.58144,6.20416,41.6,1.30349,3.49971,37.2,0.91823,1.14493,80.2,0.64573,2.26476
Kyle Anderson,UTA,DEN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Deni Avdija,POR,DET,F,37.00000,24.07557,9.37399,5.81585,1.45232,0.57254,4.00614,7.59158,16.52481,45.9,2.57715,7.17879,35.9,6.31527,7.85117,80.4,1.53296,7.84102
Ace Bailey,UTA,DEN,F,29.00000,14.88435,5.53643,1.96533,0.71792,0.57928,1.53098,5.41969,12.27395,44.2,1.57212,4.59302,34.2,2.47286,3.24866,76.1,1.35931,4.17712
LaMelo Ball,CHA,CLE,G,28.00000,19.89146,4.75844,6.86771,1.02700,0.21318,2.95851,6.64239,15.87512,41.8,2.85099,8.03873,35.5,3.75569,4.39137,85.5,1.00607,3.75237
Lonzo Ball,CLE,CHA,G,22.00000,7.50194,4.39946,4.37635,1.21670,0.57511,1.34318,2.71365,6.68989,40.6,1.39222,3.81271,36.5,0.68243,0.87600,77.9,0.71877,3.68069
Paolo Banchero,ORL,GSW,F,36.00000,23.98002,8.31381,4.38282,1.08127,0.61544,2.68847,8.17409,17.28907,47.3,1.79071,5.41935,33.0,5.84113,7.42172,78.7,2.47833,5.83548
Desmond Bane,ORL,GSW,G,35.00000,19.42763,5.72010,4.24252,1.30215,0.39002,2.25722,7.03518,15.30547,46.0,2.67133,7.28188,36.7,2.68594,2.99873,89.6,0.87754,4.84256
Brooks Barnhizer,OKC,MEM,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tamar Bates,DEN,UTA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Saddiq Bey,NOP,DAL,F,26.00000,10.65301,5.38077,2.06088,0.72803,0.13840,0.88483,3.66862,8.90802,41.2,1.58591,4.80062,33.0,1.72986,2.12666,81.3,1.28399,4.09678
Goga Bitadze,ORL,GSW,C,17.00000,7.61666,4.88002,1.23967,0.50540,0.84000,0.98874,2.87597,5.43681,52.9,0.47200,1.68455,28.0,1.39273,1.93844,71.8,2.09537,2.78466
Anthony Black,ORL,GSW,G,35.00000,15.38854,4.82609,4.37812,1.84658,0.84651,2.54257,5.49701,12.05981,45.6,1.35111,4.20884,32.1,3.04341,3.83415,79.4,1.02462,3.80147
Chris Boucher,BOS,IND,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tony Bradley,IND,BOS,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Christian Braun,DEN,UTA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Miles Bridges,CHA,CLE,F,32.00000,18.07981,7.71351,3.48833,0.78140,0.60868,1.78413,6.47723,13.91500,46.5,1.74047,5.31037,32.8,3.38488,4.09086,82.7,1.37440,6.33911
Bruce Brown,DEN,UTA,G,26.00000,11.68092,4.81277,2.78373,0.94113,0.28052,1.12660,4.29608,8.78951,48.9,1.18165,3.17902,37.2,1.90710,2.33880,81.5,1.34219,3.47059
Jaylen Brown,BOS,IND,F,36.00000,24.76786,8.57263,4.47510,1.39054,0.39336,2.68957,9.33739,19.19029,48.7,1.95724,6.10209,32.1,4.13583,5.68587,72.7,1.37869,7.19394
Thomas Bryant,CLE,CHA,C,14.00000,6.22025,4.66042,0.82972,0.25850,0.77299,0.60239,2.37401,4.30504,55.1,0.44254,1.31610,33.6,1.02970,1.33937,76.9,1.24599,3.41443
Jimmy Butler,GSW,ORL,F,34.00000,17.63296,6.30471,4.75768,1.50956,0.35223,1.84231,5.71411,11.64038,49.1,0.84208,2.48048,33.9,5.36267,6.44580,83.2,1.97798,4.32673
Jamal Cain,ORL,GSW,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kentavious Caldwell-Pope,MEM,OKC,G,28.00000,9.53873,4.08521,2.18290,1.04039,0.29657,1.65653,3.26838,7.81178,41.8,1.44027,3.74983,38.4,1.56170,1.84331,84.7,0.61801,3.46720
