,,,Week 16 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Josh Allen,BUF,CLE,BUF,-10.5,41.0,25.05,18.73,29.14,64.3,219.15,1.85,0.68,6.50,35.36,0.64
2,Jalen Hurts,PHI,WAS,PHI,-7.0,43.5,24.89,18.52,28.61,64.7,232.58,1.82,0.57,6.83,32.52,0.55
3,Justin Herbert,LAC,DAL,DAL,1,51.0,24.08,21.45,32.56,65.9,260.18,2.10,0.69,4.08,26.39,0.12
4,Baker Mayfield,TB,CAR,TB,-3.0,44.5,23.26,21.49,32.61,65.9,247.64,2.05,0.70,3.63,24.13,0.16
5,Lamar Jackson,BAL,NE,BAL,-3.5,48.0,22.47,17.63,27.00,65.3,214.68,2.08,0.56,4.92,29.56,0.17
6,Brock Purdy,SF,IND,SF,-5.5,46.0,22.46,21.56,31.27,68.9,251.65,1.80,0.93,5.10,21.06,0.25
7,Drake Maye,NE,BAL,BAL,3.5,48.0,22.41,21.42,31.75,67.5,244.21,1.51,0.77,5.68,28.94,0.34
8,Dak Prescott,DAL,LAC,DAL,-1.0,51.0,22.13,24.77,36.46,67.9,262.71,1.95,0.88,2.62,13.54,0.12
9,Jacoby Brissett,ARI,ATL,ATL,2.5,48.5,22.08,23.83,36.00,66.2,247.20,2.06,0.60,3.07,14.21,0.11
10,Joe Burrow,CIN,MIA,CIN,-3.5,48.5,21.42,24.09,34.87,69.1,243.12,2.09,0.66,2.15,10.87,0.08
11,Tyler Shough,NO,NYJ,NO,-6.5,40.0,21.03,19.96,31.01,64.4,209.50,1.33,0.68,8.52,35.71,0.39
12,Aaron Rodgers,PIT,DET,DET,7.5,52.0,20.82,20.91,32.15,65.0,246.27,2.02,0.62,1.33,6.30,0.07
13,Jared Goff,DET,PIT,DET,-7.5,52.0,20.78,21.48,32.02,67.1,257.45,1.90,0.68,1.76,6.91,0.05
14,Jordan Love,GB,CHI,CHI,1,44.5,20.72,19.13,28.99,66.0,232.00,1.82,0.70,3.03,18.24,0.12
15,Trevor Lawrence,JAX,DEN,DEN,3.5,46.5,20.39,20.86,33.45,62.4,223.48,1.46,0.77,4.62,19.86,0.36
16,Jaxson Dart,NYG,MIN,MIN,2.5,41.5,20.29,19.59,30.64,63.9,206.88,1.39,0.71,5.47,25.79,0.42
17,Bo Nix,DEN,JAX,DEN,-3.5,46.5,20.06,21.08,31.89,66.1,201.66,1.66,0.69,5.25,24.67,0.26
18,J.J. McCarthy,MIN,NYG,MIN,-2.5,41.5,19.82,17.78,29.68,59.9,205.84,1.72,1.00,3.90,23.87,0.21
19,Bryce Young,CAR,TB,TB,3,44.5,19.60,19.81,31.79,62.3,217.65,1.59,0.70,3.41,18.56,0.20
20,Marcus Mariota,WAS,PHI,PHI,7,43.5,19.49,18.32,28.76,63.7,196.43,1.42,0.79,6.06,33.34,0.24
21,C.J. Stroud,HOU,LV,HOU,-14.0,39.5,19.36,20.64,31.81,64.9,239.70,1.52,0.59,2.78,14.09,0.08
22,Matthew Stafford,LAR,SEA,SEA,1.5,42.0,19.10,21.11,31.90,66.2,226.19,1.88,0.66,1.80,5.68,0.06
23,Sam Darnold,SEA,LAR,SEA,-1.5,42.0,18.50,19.72,30.62,64.4,230.07,1.52,0.80,2.44,11.81,0.09
