,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Rodrigo Abols,PHI,C,0.11,0.13,0.24,-0.27,0.35,1.33,0.02,0.00,0.00,0.03,0.00,1.22,0.48
Mikey Anderson,LAK,D,0.06,0.24,0.31,0.23,0.27,1.04,0.00,0.00,0.00,0.00,0.00,1.24,1.67
Emil Andrae,PHI,D,0.04,0.26,0.30,0.07,0.44,1.16,0.00,0.00,0.09,0.00,0.00,1.05,1.03
Joel Armia,LAK,RW,0.24,0.22,0.46,0.04,0.25,1.44,0.01,0.01,0.03,0.04,0.01,0.81,0.56
Zach Aston-Reese,CBJ,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Denver Barkey,PHI,C,0.04,0.40,0.44,0.00,0.06,0.73,0.00,0.00,0.21,0.00,0.00,0.23,0.34
Matty Beniers,SEA,C,0.24,0.49,0.73,-0.04,0.20,1.87,0.03,0.09,0.10,0.00,0.00,0.48,0.95
Jonatan Berggren,STL,RW,0.23,0.26,0.49,-0.09,0.41,1.47,0.02,0.06,0.03,0.00,0.00,0.69,0.30
Oliver Bjorkstrand,TBL,RW,0.23,0.35,0.58,-0.03,0.17,1.93,0.04,0.08,0.11,0.00,0.00,0.83,0.38
Nick Bjugstad,STL,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Teddy Blueger,VAN,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brock Boeser,VAN,RW,0.28,0.31,0.59,-0.21,0.18,1.92,0.04,0.09,0.13,0.00,0.00,0.80,0.37
Bobby Brink,PHI,RW,0.22,0.34,0.55,-0.08,0.36,1.46,0.04,0.05,0.04,0.00,0.00,1.07,0.39
Guillaume Brisebois,VAN,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philip Broberg,STL,D,0.08,0.28,0.36,0.19,0.23,1.32,0.03,0.00,0.04,0.00,0.00,0.67,1.66
Pavel Buchnevich,STL,LW,0.19,0.33,0.53,0.01,0.42,1.70,0.02,0.04,0.11,0.00,0.02,0.59,0.36
Zeev Buium,VAN,D,0.09,0.34,0.43,0.09,0.52,1.43,0.03,0.06,0.11,0.00,0.00,0.97,0.44
Quinton Byfield,LAK,C,0.28,0.36,0.65,0.18,0.35,2.07,0.07,0.05,0.08,0.01,0.01,0.68,0.43
Declan Carlile,TBL,D,0.06,0.15,0.21,0.38,0.34,0.99,0.00,0.00,0.00,0.00,0.00,0.81,0.76
Leo Carlsson,ANA,C,0.34,0.45,0.79,0.12,0.32,1.74,0.06,0.09,0.14,0.03,0.03,0.24,0.38
Noah Cates,PHI,LW,0.16,0.28,0.44,0.10,0.18,1.34,0.03,0.01,0.08,0.00,0.00,0.86,0.59
Berkly Catton,SEA,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cody Ceci,LAK,D,0.02,0.19,0.21,0.05,0.18,0.86,0.02,0.00,0.00,0.00,0.01,0.60,1.40
Erik Cernak,TBL,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yegor Chinakhov,CBJ,RW,0.13,0.11,0.24,-0.10,0.12,1.29,0.01,0.03,0.03,0.00,0.00,0.87,0.30
Jake Christiansen,CBJ,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Filip Chytil,VAN,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anthony Cirelli,TBL,C,0.29,0.39,0.68,0.41,0.28,1.84,0.05,0.04,0.05,0.01,0.00,0.38,0.72
Brandt Clarke,LAK,D,0.09,0.40,0.49,0.17,0.48,1.91,0.03,0.04,0.08,0.00,0.00,0.32,1.70
Sean Couturier,PHI,C,0.17,0.40,0.56,-0.03,0.46,1.89,0.01,0.01,0.05,0.00,0.00,0.73,0.53
Charlie Coyle,CBJ,C,0.16,0.26,0.42,0.00,0.24,1.35,0.03,0.03,0.11,0.02,0.02,1.23,0.74
Max Crozier,TBL,D,0.07,0.25,0.32,0.11,0.32,1.53,0.00,0.00,0.00,0.00,0.00,1.43,0.99
Charle-Edouard D'Astous,TBL,D,0.13,0.32,0.44,-0.14,0.90,1.23,0.09,0.00,0.04,0.00,0.00,0.97,0.88
