Player,Team,Matchup,Proj Min,Exp Pts,Exp 3P,Exp Reb,Exp Ast,Exp Stl,Exp Blk,Exp TO,Exp PRA
Jaylen Brown,BOS,IND@BOS,33.66,30.5,1.9,6.8,5.0,1.2,0.4,3.9,42.3
Derrick White,BOS,IND@BOS,33.40,19.8,3.7,4.7,5.0,1.3,1.3,2.4,29.5
Payton Pritchard,BOS,IND@BOS,32.58,18.4,3.0,4.9,4.9,0.7,0.1,1.7,28.2
Sam Hauser,BOS,IND@BOS,27.80,8.6,2.4,4.8,1.4,0.8,0.3,1.0,14.8
Neemias Queta,BOS,IND@BOS,27.15,11.0,0.0,9.3,1.6,0.8,1.3,1.5,21.9
Anfernee Simons,BOS,IND@BOS,25.45,13.5,2.2,2.5,2.6,0.5,0.1,1.5,18.6
Hugo Gonzalez,BOS,IND@BOS,19.56,3.5,0.3,2.4,1.2,0.5,0.1,0.3,7.0
Josh Minott,BOS,IND@BOS,19.34,7.3,1.2,4.5,1.2,1.0,0.6,0.7,13.0
Baylor Scheierman,BOS,IND@BOS,10.16,2.4,0.6,1.8,0.7,0.4,0.1,0.3,4.9
Luka Garza,BOS,IND@BOS,7.78,3.6,0.3,2.3,0.4,0.2,0.2,0.3,6.3
Max Shulga,BOS,IND@BOS,1.39,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.5
Amari Williams,BOS,IND@BOS,1.39,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.5
Ron Harper Jr.,BOS,IND@BOS,1.39,0.4,0.0,0.2,0.1,0.0,0.0,0.0,0.7
Chris Boucher,BOS,IND@BOS,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Tillman,BOS,IND@BOS,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kon Knueppel,CHA,CHA@CLE,34.07,18.9,3.3,5.7,3.6,0.9,0.3,2.5,28.2
Miles Bridges,CHA,CHA@CLE,32.74,19.4,2.1,5.4,3.3,0.6,0.5,2.0,28.2
Brandon Miller,CHA,CHA@CLE,31.62,21.2,2.8,4.3,3.2,1.1,0.8,2.8,28.7
LaMelo Ball,CHA,CHA@CLE,27.54,20.3,3.1,5.1,7.0,1.1,0.2,2.8,32.4
Moussa Diabate,CHA,CHA@CLE,25.65,8.0,0.0,8.8,1.5,0.9,0.9,1.3,18.3
Sion James,CHA,CHA@CLE,22.44,5.7,1.0,3.0,1.1,0.6,0.4,0.8,9.8
Mason Plumlee,CHA,CHA@CLE,20.81,3.7,0.0,6.9,2.2,0.7,0.6,1.4,12.9
Tre Mann,CHA,CHA@CLE,17.48,9.1,1.6,2.2,2.2,0.6,0.1,1.4,13.6
Tidjane Salaun,CHA,CHA@CLE,13.87,5.1,0.8,3.3,0.7,0.4,0.2,0.8,9.1
Josh Green,CHA,CHA@CLE,12.85,3.2,0.5,1.2,0.7,0.6,0.1,0.7,5.2
KJ Simpson,CHA,CHA@CLE,1.15,0.5,0.1,0.2,0.1,0.1,0.0,0.1,0.8
Pat Connaughton,CHA,CHA@CLE,1.15,0.4,0.1,0.2,0.1,0.0,0.0,0.1,0.7
Collin Sexton,CHA,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Reeves,CHA,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Williams,CHA,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Mitchell,CLE,CHA@CLE,33.67,30.7,4.3,4.8,5.3,1.3,0.2,2.9,40.8
