Player,Team,Min,Shots,Goals,Assists,Blocks
Chris Kreider,ANA,18.26,2.3,0.33,0.43,0.3
Mikael Granlund,ANA,18.70,1.9,0.26,0.59,0.6
Troy Terry,ANA,18.08,2.2,0.40,0.58,0.3
Cutter Gauthier,ANA,16.83,2.8,0.45,0.45,0.4
Mason McTavish,ANA,14.60,2.1,0.38,0.41,0.3
Beckett Sennecke,ANA,15.82,1.9,0.23,0.46,0.2
Frank Vatrano,ANA,13.40,1.9,0.22,0.22,0.6
Ryan Strome,ANA,14.20,1.4,0.17,0.39,0.2
Alex Killorn,ANA,14.15,1.4,0.22,0.23,0.2
Ross Johnston,ANA,11.61,0.5,0.06,0.23,0.4
Ryan Poehling,ANA,13.58,1.1,0.13,0.34,0.8
Jansen Harkins,ANA,11.11,0.9,0.10,0.03,0.5
Jackson Lacombe,ANA,25.84,2.2,0.22,0.52,1.5
Jacob Trouba,ANA,22.19,1.6,0.13,0.25,1.7
Pavel Mintyukov,ANA,19.00,1.1,0.05,0.25,1.1
Radko Gudas,ANA,18.60,1.3,0.06,0.25,1.5
Ian Moore,ANA,15.77,1.2,0.05,0.21,1.5
Olen Zellweger,ANA,15.05,1.5,0.14,0.22,0.7
Mason Marchment,CBJ,18.40,2.1,0.17,0.33,0.4
Adam Fantilli,CBJ,19.70,2.9,0.52,0.29,0.7
Kent Johnson,CBJ,14.50,1.5,0.20,0.31,0.4
Boone Jenner,CBJ,16.78,2.4,0.23,0.43,0.7
Charlie Coyle,CBJ,17.40,1.5,0.13,0.38,0.6
Kirill Marchenko,CBJ,18.21,2.6,0.39,0.42,0.5
Dmitri Voronkov,CBJ,15.00,2.0,0.24,0.25,0.4
Sean Monahan,CBJ,15.60,1.4,0.13,0.39,0.3
Cole Sillinger,CBJ,14.86,1.6,0.14,0.27,0.4
Miles Wood,CBJ,12.50,1.6,0.13,0.12,0.3
Isac Lundestrom,CBJ,12.20,0.0,0.00,0.12,0.7
Yegor Chinakhov,CBJ,11.38,1.4,0.12,0.13,0.2
Ivan Provorov,CBJ,25.08,1.6,0.10,0.26,1.6
Damon Severson,CBJ,23.20,1.4,0.05,0.28,1.2
Denton Mateychuk,CBJ,22.23,1.3,0.05,0.24,1.6
