"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"Jalen","Brunson","NYK","MIA vs. NYK","28.97","3.48","7.45","3.13","0.23","0.76","2.84","39.90","32.45","36.42","49.46","2025-12-21T22:55:00Z"
"Anthony","Edwards","MIN","MIL vs. MIN","27.78","5.97","4.61","3.73","0.69","1.20","2.67","38.37","33.75","32.39","49.14","2025-12-21T23:49:50Z"
"Kevin","Durant","HOU","HOU vs. SAC","25.62","4.74","4.24","2.51","0.82","0.90","2.86","34.60","30.36","29.86","44.02","2025-12-22T02:53:36Z"
"Brandon","Ingram","TOR","TOR vs. BKN","23.99","6.06","4.29","2.04","0.50","0.97","3.45","34.33","30.05","28.27","43.67","2025-12-21T22:55:00Z"
"Jalen","Johnson","ATL","CHI vs. ATL","23.57","11.06","7.55","1.61","0.68","1.44","3.26","42.18","34.63","31.12","55.40","2025-12-21T20:39:15Z"
"Alperen","Sengun","HOU","HOU vs. SAC","22.30","9.63","6.97","0.72","0.88","1.55","2.69","38.90","31.93","29.27","51.35","2025-12-22T02:53:36Z"
"Norman","Powell","MIA","MIA vs. NYK","21.85","3.26","2.56","2.70","0.24","1.12","1.73","27.67","25.12","24.41","34.70","2025-12-21T22:55:00Z"
"Julius","Randle","MIN","MIL vs. MIN","21.65","6.56","5.45","1.99","0.16","0.97","2.69","33.66","28.21","27.10","42.62","2025-12-21T23:49:50Z"
"Coby","White","CHI","CHI vs. ATL","21.56","3.53","4.14","2.78","0.20","0.73","2.97","29.23","25.09","25.70","36.91","2025-12-21T20:39:15Z"
"Michael","Porter","BKN","TOR vs. BKN","21.36","7.12","2.86","3.26","0.47","0.94","2.21","31.34","28.48","24.22","40.10","2025-12-21T22:54:59Z"
"Scottie","Barnes","TOR","TOR vs. BKN","21.26","8.84","5.46","1.40","1.27","1.47","2.81","35.56","30.10","26.72","48.06","2025-12-21T22:55:00Z"
"Karl-Anthony","Towns","NYK","MIA vs. NYK","20.84","11.68","2.44","1.72","0.71","0.81","2.35","34.96","32.52","23.28","44.17","2025-12-21T22:55:00Z"
"CJ","McCollum","WAS","SAS vs. WAS","20.84","3.79","4.40","3.12","0.23","0.82","2.25","29.02","24.62","25.24","36.94","2025-12-21T23:49:49Z"
"Victor","Wembanyama","SAS","SAS vs. WAS","20.27","9.52","3.45","1.85","2.50","1.09","2.19","33.25","29.79","23.72","46.55","2025-12-21T23:49:49Z"
"De'Aaron","Fox","SAS","SAS vs. WAS","20.21","4.13","5.98","2.20","0.35","1.48","1.83","30.32","24.34","26.19","40.03","2025-12-21T23:49:49Z"
"Stephon","Castle","SAS","SAS vs. WAS","19.23","5.92","6.68","1.42","0.32","1.35","2.43","31.83","25.15","25.91","41.93","2025-12-21T23:49:49Z"
"Josh","Giddey","CHI","CHI vs. ATL","19.18","8.57","8.36","1.93","0.37","1.19","3.20","36.11","27.75","27.54","48.12","2025-12-21T20:39:15Z"
"Nickeil","Alexander-Walker","ATL","CHI vs. ATL","18.70","3.60","3.62","2.73","0.61","0.93","1.90","25.92","22.30","22.32","34.03","2025-12-21T20:39:15Z"
"Trae","Young","ATL","CHI vs. ATL","18.51","2.23","8.41","2.11","0.14","0.98","2.89","29.16","20.75","26.93","38.67","2025-12-21T20:39:15Z"
"Kevin","Porter","MIL","MIL vs. MIN","18.47","5.24","6.78","1.89","0.19","1.80","3.00","30.49","23.71","25.25","41.61","2025-12-21T23:49:50Z"
"DeMar","DeRozan","SAC","HOU vs. SAC","18.34","3.37","3.59","1.00","0.26","1.17","1.26","25.31","21.71","21.94","31.92","2025-12-22T02:53:36Z"
"Onyeka","Okongwu","ATL","CHI vs. ATL","17.82","9.08","3.25","2.08","1.50","1.50","1.48","30.15","26.91","21.07","41.82","2025-12-21T20:39:15Z"
"Amen","Thompson","HOU","HOU vs. SAC","17.47","7.16","5.00","0.46","0.61","1.33","2.24","29.63","24.63","22.47","39.13","2025-12-22T02:53:36Z"
"OG","Anunoby","NYK","MIA vs. NYK","17.29","4.80","1.98","2.61","0.79","1.76","1.54","24.07","22.09","19.27","33.43","2025-12-21T22:55:00Z"
"Andrew","Wiggins","MIA","MIA vs. NYK","16.99","4.64","2.83","1.92","0.94","0.83","2.17","24.46","21.63","19.82","32.62","2025-12-21T22:55:00Z"
"Jaime","Jaquez","MIA","MIA vs. NYK","16.89","6.62","4.42","0.59","0.27","0.59","3.24","27.94","23.52","21.31","35.44","2025-12-21T22:55:00Z"
"Mikal","Bridges","NYK","MIA vs. NYK","16.67","4.41","3.92","2.26","0.94","1.60","1.46","25.01","21.09","20.59","35.02","2025-12-21T22:55:00Z"
"Immanuel","Quickley","TOR","TOR vs. BKN","16.56","4.35","6.96","2.52","0.11","1.13","1.83","27.87","20.91","23.52","37.10","2025-12-21T22:55:00Z"
"Jabari","Smith","HOU","HOU vs. SAC","16.54","7.19","1.96","2.52","0.57","0.81","1.55","25.69","23.73","18.50","33.27","2025-12-22T02:53:36Z"
"Tristan","Vukcevic","WAS","SAS vs. WAS","16.31","6.17","2.84","1.68","0.96","0.69","2.38","25.32","22.48","19.15","33.61","2025-12-21T23:49:49Z"
"Bam","Adebayo","MIA","MIA vs. NYK","16.22","8.09","2.76","1.63","0.86","1.06","1.73","27.07","24.31","18.98","35.99","2025-12-21T22:55:00Z"
"Kyshawn","George","WAS","SAS vs. WAS","15.90","6.29","5.14","2.67","0.93","1.22","3.19","27.32","22.18","21.04","38.69","2025-12-21T23:49:49Z"
"Devin","Vassell","SAS","SAS vs. WAS","15.41","4.26","2.84","2.86","0.43","1.36","0.98","22.51","19.67","18.25","30.49","2025-12-21T23:49:49Z"
"Keegan","Murray","SAC","HOU vs. SAC","15.28","6.28","1.84","2.02","1.49","1.32","1.17","23.40","21.56","17.12","33.10","2025-12-22T02:53:36Z"
"Jaden","McDaniels","MIN","MIL vs. MIN","15.25","5.11","2.63","1.63","0.79","1.25","1.71","22.99","20.36","17.88","31.32","2025-12-21T23:49:50Z"
"Nikola","Vucevic","CHI","CHI vs. ATL","15.23","8.29","3.18","1.39","0.47","0.83","1.56","26.70","23.52","18.41","34.42","2025-12-21T20:39:15Z"
"Russell","Westbrook","SAC","HOU vs. SAC","14.86","5.55","6.63","1.58","0.22","1.18","3.49","27.04","20.41","21.49","37.07","2025-12-22T02:53:36Z"
"Ryan","Rollins","MIL","MIL vs. MIN","14.61","3.68","4.61","1.73","0.28","1.25","2.25","22.90","18.29","19.22","31.18","2025-12-21T23:49:50Z"
"Dylan","Harper","SAS","SAS vs. WAS","14.48","3.61","4.11","1.10","0.07","1.05","1.61","22.20","18.09","18.59","28.75","2025-12-21T23:49:49Z"
"Bobby","Portis","MIL","MIL vs. MIN","14.36","7.30","1.80","1.71","0.25","0.64","1.18","23.46","21.66","16.16","29.41","2025-12-21T23:49:50Z"
"Maxime","Raynaud","SAC","HOU vs. SAC","13.96","6.96","1.55","0.53","0.63","0.73","1.67","22.47","20.92","15.51","28.80","2025-12-22T02:53:36Z"
"Kyle","Kuzma","MIL","MIL vs. MIN","13.88","4.56","2.42","1.27","0.42","0.74","1.66","20.86","18.44","16.30","26.99","2025-12-21T23:49:49Z"
"Donte","DiVincenzo","MIN","MIL vs. MIN","13.86","4.43","4.05","3.46","0.45","1.23","1.57","22.34","18.28","17.91","31.34","2025-12-21T23:49:50Z"
"Naz","Reid","MIN","MIL vs. MIN","13.73","6.12","2.42","2.44","0.68","1.02","1.66","22.27","19.85","16.15","30.46","2025-12-21T23:49:50Z"
"Matas","Buzelis","CHI","CHI vs. ATL","13.65","4.89","1.81","1.58","1.18","0.95","1.74","20.35","18.55","15.46","28.40","2025-12-21T20:39:15Z"
"Noah","Clowney","BKN","TOR vs. BKN","13.65","4.23","1.96","2.46","0.89","0.92","2.10","19.84","17.88","15.61","27.78","2025-12-21T22:54:59Z"
"Nic","Claxton","BKN","TOR vs. BKN","13.47","8.71","4.26","0.13","1.83","0.90","1.71","26.44","22.18","17.72","37.13","2025-12-21T22:54:59Z"
"Dyson","Daniels","ATL","CHI vs. ATL","13.28","6.50","5.14","0.64","0.46","2.37","2.00","24.92","19.78","18.43","36.11","2025-12-21T20:39:15Z"
