PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
37814,"Luke Kennard",3200,PG/SG,ATL,SAS,156521,887661,-,19,6.63,1.66,2.43,1.43,0.96,0.56,0.01,9.06,8.29,10.72,0.57,4.09,1.76,0.82,3.27,0.78,0.7,5.03,2.25,13.02,13.02,13.73,4.29,7.75%,135,144,FRI,38279,2,37814,8.27,19.99,2.38,2.38,3.3,8.29,11.4,13.73,16.32,20.21,22.02,29.53,
1115445,"Nickeil Alexander-Walker",6800,SG/SF,ATL,SAS,156521,1067668,-,34,21.93,3.73,5.57,2.83,1.73,0.82,0.68,27.5,25.66,31.23,1.5,9.3,11.31,5.11,7.24,3.82,3.21,18.55,7.94,37.53,37.53,38.58,5.67,31.16%,135,144,FRI,69666,4,1115445,29.37,48.75,26.28,26.28,28.8,29.31,34.32,38.58,42.34,48.6,51.36,63.38,
2439277,"Onyeka Okongwu",7500,C,ATL,SAS,156521,1185367,-,34,19.11,8.69,3.48,1.51,2.3,1.01,1.28,22.59,27.8,31.28,2.29,12.17,10.27,5.48,4.37,4.76,3.62,14.64,6.99,39.33,39.33,39.98,5.33,23.32%,135,144,FRI,91845,5,2439277,30.98,49.33,25.9,25.9,20.62,31.04,36.26,39.98,43.7,49.42,51.9,62.58,
2439347,"Vit Krejci",3900,SG/SF,ATL,SAS,156521,1257428,,24,8.99,2.6,1.55,2.16,0.99,0.79,0.52,10.54,11.59,13.14,1.31,4.15,1.88,0.92,4.89,0.93,0.69,6.77,3.08,17.38,17.38,17.77,4.56,13.21%,135,144,FRI,161284,6,2439347,11.47,25.25,11.02,11.02,6.88,11.42,14.98,17.77,20.82,25.39,27.42,35.79,
3005263,"Jalen Johnson",10000,PF,ATL,SAS,156521,1230356,,37,26.39,10.42,8.5,1.52,3.58,1.39,0.52,34.89,36.81,45.31,1.91,18.92,17.05,8.49,4.24,6.18,4.84,21.29,10.01,53.79,53.79,56.44,5.64,32.68%,135,144,FRI,165214,7,3005263,45.47,67.35,14.78,14.78,37.24,45.55,51.74,56.44,61.14,67.62,70.3,83.67,
3587993,"Dyson Daniels",7100,PG/SG,ATL,SAS,156521,1357745,,35,13.15,7.21,5.73,0.58,2.34,1.77,0.3,18.88,20.36,26.09,2.07,12.94,10.29,5.05,2.12,2.11,1.29,12.41,5.63,34.27,34.27,34.34,4.84,12.04%,135,144,FRI,195261,9,3587993,26.37,43.01,10.22,10.22,8.99,26.32,30.58,34.34,38.1,43.11,45.37,55.65,
4388493,"Keaton Wallace",3000,PG,ATL,SAS,156521,1063166,,10,3.07,1.33,1.36,0.49,0.39,0.34,0.09,4.43,4.4,5.76,0.43,2.69,1.2,0.52,1.41,0.66,0.54,2.61,1.01,7.61,7.61,7.68,2.56,1.90%,135,144,FRI,245561,10,4388493,3.94,12.34,0,0,0.01,3.84,5.89,7.68,9.22,12.29,13.31,18.69,
4878163,"Mouhamed Gueye",3500,PF/C,ATL,SAS,156521,1325101,,11,4.09,3.12,0.56,0.37,0.44,0.48,0.39,4.65,7.21,7.77,0.87,3.68,2.34,1.11,1.04,0.96,0.74,3.38,1.48,10.84,10.84,10.54,3.01,1.18%,135,144,FRI,180180,11,4878163,6.36,15.55,0.62,0.62,0.04,6.27,8.53,10.54,12.3,15.56,16.84,22.33,
6412725,"Zaccharie Risacher",4200,SF,ATL,SAS,156521,1432544,,24,10.63,2.87,1.4,1.44,0.81,0.94,0.53,12.03,13.5,14.9,1.47,4.27,5.46,2.47,4.4,1.94,1.38,9.86,3.91,19.77,19.77,19.57,4.66,13.55%,135,144,FRI,368366,13,6412725,13.34,27.13,5.11,5.11,7.49,13.22,16.77,19.57,22.37,27.19,29.23,36.85,
8985462,"Asa Newell",3100,PF/C,ATL,SAS,156521,1524332,,12,4.67,2.72,0.75,0.53,0.48,0.32,0.2,5.42,7.39,8.14,0.52,3.47,2.49,1.13,1.53,1.05,0.83,4.02,1.66,10.14,10.14,10.26,3.31,4.37%,135,144,FRI,457543,15,8985462,6.05,15.27,0.9,0.9,0.14,5.9,8.21,10.26,12.31,15.39,16.67,23.09,
