PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
13563,"Kirk Cousins",,QB,ATL,ARI,147554,,32.42,21.68,211.83,1.71,0.63,0.7,1.85,0.06,0,0,0,0,15.42,15.41,15.41,213.68,1.77,213.68,1.77,1.85,0.06,0,8.93,23.5,2.74,43.08,2.52,2.58%,MAIN,403308,2307,1,13563,
3491931,"Tyler Allgeier",,RB,ATL,ARI,147554,,0,0,0,0,0,7.83,38.21,0.35,1.27,1.05,6.97,0.06,8.02,7.99,7.46,45.18,0.41,38.21,0.35,45.18,0.41,0,3.68,16.59,2.02,21.68,0.85,0.50%,MAIN,1131198,125422,2,3491931,
4687512,"Bijan Robinson",,RB,ATL,ARI,147554,,0,0,0,0,0,18.35,99.92,0.75,5.74,4.37,33.8,0.25,25.14,25.05,22.86,133.72,1,99.92,0.75,133.72,1,0,15.49,36.53,34.78,67.28,35.2,28.29%,MAIN,1228244,123168,3,4687512,
8261767,"Nate Carter",,RB,ATL,ARI,147554,,0,0,0,0,0,0.12,0.66,0,0,0,0,0,0.07,0.06,0.06,0.66,0,0.66,0,0.66,0,0,0,0.14,,,0,0.00%,MAIN,1214132,134222,4,8261767,
509432,"Khadarel Hodge",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.1,0.06,0.64,0.01,0.18,0.18,0.15,0.64,0.01,0,0,0.64,0.01,0,0,0.36,0,0.26,0.02,0.00%,MAIN,757521,76869,5,509432,
982204,"David Sills",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,3.41,2.05,20.24,0.19,5.21,5.2,4.17,20.24,0.19,0,0,20.24,0.19,0,1.56,12.4,0.78,14.5,0.67,0.52%,MAIN,866973,65587,6,982204,
1844218,"Darnell Mooney",,WR,ATL,ARI,147554,,0,0,0,0,0,0.03,0.15,0,4.6,2.82,32.97,0.26,7.71,7.7,6.29,33.12,0.26,0.15,0,33.12,0.26,0,2.88,15.98,2.94,23.5,1.88,2.32%,MAIN,912027,62802,7,1844218,
3491928,"Drake London",,WR,ATL,ARI,147554,Q,0,0,0,0,0,0,0,0,7.14,5.17,52.39,0.41,13.06,13.03,10.44,52.39,0.41,0,0,52.39,0.41,0,6.74,22.88,6.18,26.4,2.48,6.37%,MAIN,1178741,140160,8,3491928,
4773069,"Dylan Drummond",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.76,0.48,4.18,0.04,1.13,1.13,0.89,4.18,0.04,0,0,4.18,0.04,0,0,2.26,0,2.28,0.04,0.01%,MAIN,1108534,48414,9,4773069,
3515974,"Deven Thompkins",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.1,0.07,0.44,0.01,0.17,0.18,0.14,0.44,0.01,0,0,0.44,0.01,0,0,0.34,0,0.28,0,0.00%,MAIN,1130833,49660,10,3515974,
