PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
1279401,"Rodrigo Abols",2500,C,PHI,VAN,8402740,920579,4,,,0.113,0.1461,1.0425,0.4323,0,0,0,0,0,0,0.2591,0,4.01,1.6,5.01,7.05,1,0,10.42,0,,1279401,1.164,3.32,10.4,158,2229,92052,1
5274308,"Max Crozier",2700,D,TBL,STL,8402730,1172319,3,,,0.0493,0.2019,1.3961,0.9148,0,0,0,0,0,0,0.2512,0,5.13,1.9,5,7.12,2,0,11.53,0,,5274308,1.297,4.06,14.7,167,2218,262433,1
16700,"Rasmus Ristolainen",2800,D,PHI,VAN,8402740,741411,3,,,0.0558,0.216,1.3724,1.6306,0,0,0,0,0,0,0.2718,0,6.54,2.34,5.19,7.32,3,1.16,13.18,0,,16700,1.852,5.13,19.2,158,2229,31067,1
17079,"Brian Dumoulin",2500,D,LAK,CBJ,8402780,654336,3,,,0.0393,0.2118,0.8988,1.4772,0,0,0,0,0,0,0.2511,0,5.34,2.14,5.02,7.16,4,0.14,11.77,0,,17079,1.001,3.96,18.3,182,2054,30426,1
16699,"Zemgus Girgensons",2700,W,TBL,STL,8402730,659858,3,,,0.1443,0.1305,1.4349,0.6531,0,0,0,0,0,0,0.2748,0,5.19,1.92,5.17,7.19,5,0,11.81,0,,16699,2.657,4.8,15.1,167,2218,30275,1
5721344,"Cutter Gauthier",7200,W,ANA,SEA,8402770,1394905,2,2,,0.3901,0.4697,3.1071,0.5191,0,0,0,0,0.0652,0.0775,0.8598,0.1427,12.04,1.67,9.14,12.99,6,2.57,23.74,0,,5721344,0.986,8.41,16.9,180,1997,204709,1
17077,"Cody Ceci",2500,D,LAK,CBJ,8402780,659859,3,,,0.041,0.2018,0.9012,1.4676,0,0,0,0,0,0,0.2428,0,5.31,2.12,5.02,7.16,7,0.11,11.74,0,,17077,0.949,3.9,17.4,182,2054,30249,1
6082975,"Liam Ohgren",2600,W,VAN,PHI,8402740,1394917,4,,,0.0963,0.1113,0.9824,0.3476,0,0,0,0,0,0,0.2076,0,3.46,1.33,4.96,7.01,8,0,9.81,0,,6082975,1.081,2.89,9.4,179,2129,204718,0
2296155,"Yegor Chinakhov",2800,W,CBJ,LAK,8402780,1209293,4,,,0.1094,0.1278,1.069,0.3546,0,0,0,0,0,0,0.2372,0,3.81,1.36,5,7.04,9,0,10.21,0,,2296155,0.836,3.01,9.7,171,2023,158667,0
16667,"Cam Fowler",3500,D,STL,TBL,8402730,550762,3,1,,0.084,0.3236,1.4615,1.2687,0,0,0,0,0.0283,0.0947,0.4076,0.123,6.8,1.94,6.01,8.62,10,0.57,14.49,0,,16667,0.387,4.78,21.2,174,1944,30980,0
14204,"Alex Killorn",2800,W,ANA,SEA,8402770,651621,4,,,0.2162,0.2538,1.3854,0.358,0,0,0,0,0,0,0.47,0,5.89,2.1,6.49,9.29,11,0,14.2,0,,14204,0.898,4.5,14.4,180,1997,30512,1
34841,"Ross Johnston",2500,W,ANA,SEA,8402770,789848,4,,,0.0618,0.1426,0.5713,0.3965,0,0,0,0,0,0,0.2044,0,2.78,1.11,4.41,6.27,12,0,8.42,0,,34841,2.504,3.16,9.8,180,1997,30771,1
5277871,"Pavel Mintyukov",2900,D,ANA,SEA,8402770,1394908,2,,,0.0567,0.2946,1.0029,1.2805,0,0,0,0,0,0,0.3513,0,5.7,1.97,5.26,7.55,13,0.25,12.43,0,,5277871,1.131,4.37,16.9,180,1997,204737,1
14155,"Jordan Eberle",4900,W,SEA,ANA,8402770,456834,1,1,,0.3015,0.3737,2.3712,0.5107,0,0,0,0,0.0795,0.1097,0.6752,0.1892,9.24,1.89,7.72,10.98,14,1.24,19.12,0,,14155,0.671,6.62,18.9,1179,182467,30312,0
14383,"Drew Doughty",3800,D,LAK,CBJ,8402780,456625,1,1,,0.0867,0.4703,1.5588,1.5843,0,0,0,0,0.0341,0.1465,0.557,0.1806,8.35,2.2,6.66,9.71,15,1.45,16.87,0,,14383,1.162,6.22,23.5,182,2054,29920,1
37674,"Mason Marchment",3900,W,CBJ,LAK,8402780,895218,1,2,,0.1813,0.2754,1.6026,0.4355,0,0,0,0,0.0232,0.0415,0.4567,0.0647,6.17,1.58,6.08,8.68,16,0,13.95,0,,37674,1.231,4.88,14.6,171,2023,82868,0
34423,"Frank Vatrano",3100,W,ANA,SEA,8402770,866948,3,,,0.1831,0.1678,1.6834,0.6155,0,0,0,0,0,0,0.3509,0,6.07,1.96,5.85,8.18,17,0.01,13.56,0,,34423,1.47,4.8,11.7,180,1997,30382,1
2296243,"Jake Neighbours",4500,W,STL,TBL,8402730,1248093,2,1,,0.2778,0.2215,1.5715,0.6129,0,0,0,0,0.0715,0.0599,0.4993,0.1314,6.97,1.55,6.91,9.77,18,0,15.81,0,,2296243,2.025,5.82,16.1,174,1944,158699,0
2296434,"Jamie Drysdale",3600,D,PHI,VAN,8402740,1207492,2,1,,0.0741,0.3286,1.0884,1.2674,0,0,0,0,0.0264,0.0999,0.4027,0.1263,6.14,1.71,5.51,7.99,19,0.43,13.19,0,,2296434,0.619,4.49,20.8,158,2229,158711,1
14230,"Anze Kopitar",4500,C,LAK,CBJ,8402780,300789,1,1,,0.223,0.521,1.5728,0.8833,0,0,0,0,0.0585,0.1497,0.744,0.2082,8.57,1.9,7.65,11.24,20,0.64,18.36,0,,14230,0.631,6.3,19.5,182,2054,29924,1
2298811,"Emil Andrae",3000,D,PHI,VAN,8402740,1248171,2,,,0.0419,0.2097,0.9465,1.0563,0,0,0,0,0,0,0.2516,0,4.65,1.55,4.96,7.1,21,0,11,0,,2298811,1.195,3.69,16.4,158,2229,158533,1
14453,"Tyler Myers",3100,D,VAN,PHI,8402740,456704,2,,,0.0427,0.1994,0.9968,1.8122,0,0,0,0,0,0,0.2421,0,6.14,1.98,4.93,6.93,22,1.03,12.45,0,,14453,1.409,4.57,21.6,179,2129,31072,0
31680,"Colton Parayko",4100,D,STL,TBL,8402730,680852,1,,,0.0744,0.2006,1.4649,2.2839,0,0,0,0,0,0,0.275,0,8.1,1.98,5.38,7.5,23,2.53,14.99,0,,31680,1.23,5.61,21.4,174,1944,30565,0
2299114,"Gage Goncalves",2500,W,TBL,STL,8402730,1248183,4,2,,0.0939,0.1819,0.721,0.2871,0,0,0,0,0.0087,0.0201,0.2758,0.0288,3.31,1.32,5.08,7.25,24,0,9.81,0,,2299114,0.937,2.78,9.8,167,2218,158693,1
18464,"Damon Severson",2900,D,CBJ,LAK,8402780,660810,2,2,,0.0576,0.2486,0.9287,1.502,0,0,0,0,0.0114,0.0369,0.3062,0.0483,5.78,1.99,5.11,7.25,25,0.49,12.32,0,,18464,0.752,4.17,19,171,2023,29980,0
2296497,"Quinton Byfield",4400,C,LAK,CBJ,8402780,1207494,2,2,,0.2492,0.4305,2.1297,0.4707,0,0,0,0,0.0349,0.0651,0.6797,0.1,8.57,1.95,7.16,10.26,26,1.15,17.73,0,,2296497,1.002,6.37,19.2,182,2054,158524,1
16678,"Brendan Smith",2500,D,CBJ,LAK,8402780,392971,3,,,0.0241,0.0907,0.5499,1.0197,0,0,0,0,0,0,0.1148,0,3.23,1.29,4.55,6.42,27,0,9.05,0,,16678,1.024,2.59,10.5,171,2023,30628,0
14129,"Charlie Coyle",3000,C,CBJ,LAK,8402780,550778,2,2,,0.156,0.2872,1.2503,0.8174,0,0,0,0,0.0165,0.0372,0.4432,0.0537,6.08,2.03,5.63,8.06,28,0.25,13.29,0,,14129,1.354,4.86,17.5,171,2023,30578,0
34560,"Nick Paul",3400,W,TBL,STL,8402730,744807,2,2,,0.2244,0.2439,1.6688,0.4094,0,0,0,0,0.0283,0.0366,0.4683,0.0649,6.45,1.9,6.47,9.12,29,0,14.73,0,,34560,1.144,5,14.7,167,2218,82903,1
5241875,"Max Sasson",2500,C,VAN,PHI,8402740,1443094,4,,,0.1178,0.1167,0.8905,0.4352,0,0,0,0,0,0,0.2345,0,3.68,1.47,4.97,7.02,30,0,10.04,0,,5241875,0.665,2.83,10.2,179,2129,289518,0
16684,"Sean Monahan",4200,C,CBJ,LAK,8402780,741409,3,1,,0.2113,0.342,1.5678,0.6042,0,0,0,0,0.0537,0.0997,0.5533,0.1534,7,1.67,6.76,9.71,31,0,15.65,0,,16684,0.578,5.17,17.7,171,2023,29892,0
2299112,"Jack Finley",2500,C,TBL,STL,8402730,1248176,4,,,0.0925,0.1188,0.782,0.2308,0,0,0,0,0,0,0.2113,0,2.98,1.19,4.92,6.97,32,0,9.28,0,,2299112,1.018,2.55,8.2,167,2218,158686,1
31743,"Chandler Stephenson",3500,C,SEA,ANA,8402770,680757,2,1,,0.2249,0.4752,1.5659,0.6936,0,0,0,0,0.0581,0.1502,0.7001,0.2083,8,2.29,7.3,10.65,33,0.44,17.34,0,,31743,0.527,5.88,19.7,1179,182467,30369,0
14130,"Mikael Granlund",3900,C,ANA,SEA,8402770,550759,3,1,,0.2004,0.4997,1.7282,0.5808,0,0,0,0,0.06,0.206,0.7001,0.266,8.02,2.06,7.35,10.68,34,0.41,17.43,0,,14130,0.721,6,16.6,180,1997,30288,1
14343,"Ryan McDonagh",3700,D,TBL,STL,8402730,392953,2,,,0.0527,0.2917,1.0628,1.8639,0,0,0,0,0,0,0.3444,0,6.93,1.87,5.45,7.75,35,1.28,13.91,0,,14343,0.786,4.8,21.4,167,2218,30857,1
4904965,"Denver Barkey",2500,W,PHI,VAN,8402740,1453172,2,2,,0.2154,0.2856,1.7327,0.5509,0,0,0,0,0.0447,0.0677,0.501,0.1124,6.94,2.78,6.64,9.41,36,0.06,15.44,0,,4904965,1.372,5.46,15.9,158,2229,260542,1
2296373,"Marco Rossi",5000,C,VAN,PHI,8402740,1248078,1,1,,0.2295,0.4264,1.86,0.5643,0,0,0,0,0.0543,0.1197,0.6559,0.174,8.06,1.61,7.08,10.21,37,0.73,17.12,0,,2296373,0.857,6.02,20.5,179,2129,158616,0
4904968,"Matvei Michkov",3800,W,PHI,VAN,8402740,1338014,3,2,,0.2538,0.3467,2.0845,0.2818,0,0,0,0,0.0729,0.0922,0.6005,0.1651,7.81,2.06,6.9,9.81,38,0.66,16.64,0,,4904968,0.542,5.63,14.6,158,2229,260577,1
