,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Santi Aldama,MEM,OKC,F,35.00000,16.81085,10.59284,5.02001,1.06928,0.67754,2.21686,6.16776,13.61624,45.3,2.22672,6.18122,36.0,2.24861,3.28696,68.4,3.59535,6.99749
Trey Alexander,NOP,DAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jarrett Allen,CLE,CHA,C,29.00000,15.16527,12.06657,2.33981,0.97483,1.29117,1.30533,6.21149,9.09300,68.3,0.24494,0.69541,35.2,2.49735,3.50101,71.3,4.33140,7.73517
Jose Alvarado,NOP,DAL,G,20.00000,7.39241,2.90880,2.71648,0.99248,0.10027,1.01124,2.58417,6.21072,41.6,1.30486,3.50341,37.2,0.91920,1.14614,80.2,0.64641,2.26239
Kyle Anderson,UTA,DEN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Deni Avdija,POR,DET,F,37.00000,24.07557,9.37399,5.81585,1.45232,0.57254,4.00614,7.59158,16.52481,45.9,2.57715,7.17879,35.9,6.31527,7.85117,80.4,1.53296,7.84102
Ace Bailey,UTA,DEN,F,29.00000,14.88435,5.53643,1.96533,0.71792,0.57928,1.53098,5.41969,12.27395,44.2,1.57212,4.59302,34.2,2.47286,3.24866,76.1,1.35931,4.17712
LaMelo Ball,CHA,CLE,G,28.00000,19.89146,4.75844,6.86771,1.02700,0.21318,2.95851,6.64239,15.87512,41.8,2.85099,8.03873,35.5,3.75569,4.39137,85.5,1.00607,3.75237
Lonzo Ball,CLE,CHA,G,22.00000,7.50194,4.39946,4.37635,1.21670,0.57511,1.34318,2.71365,6.68989,40.6,1.39222,3.81271,36.5,0.68243,0.87600,77.9,0.71877,3.68069
Paolo Banchero,ORL,GSW,F,36.00000,24.03308,8.33195,4.39252,1.08266,0.61629,2.69137,8.19218,17.32732,47.3,1.79467,5.43135,33.0,5.85405,7.43814,78.7,2.48381,5.84814
Desmond Bane,ORL,GSW,G,35.00000,19.47061,5.73255,4.25191,1.30383,0.39055,2.25965,7.05074,15.33934,46.0,2.67724,7.29799,36.7,2.69189,3.00536,89.6,0.87948,4.85307
Brooks Barnhizer,OKC,MEM,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tamar Bates,DEN,UTA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Saddiq Bey,NOP,DAL,F,26.00000,10.66426,5.37783,2.06306,0.72757,0.13832,0.88532,3.67250,8.91744,41.2,1.58758,4.80569,33.0,1.73169,2.12890,81.3,1.28534,4.09249
Goga Bitadze,ORL,GSW,C,17.00000,7.63351,4.89070,1.24241,0.50605,0.84115,0.98980,2.88233,5.44884,52.9,0.47304,1.68827,28.0,1.39581,1.94273,71.8,2.10000,2.79070
Anthony Black,ORL,GSW,G,35.00000,15.42259,4.83660,4.38781,1.84896,0.84767,2.54530,5.50917,12.08650,45.6,1.35409,4.21815,32.1,3.05015,3.84263,79.4,1.02689,3.80971
Chris Boucher,BOS,IND,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tony Bradley,IND,BOS,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Christian Braun,DEN,UTA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Miles Bridges,CHA,CLE,F,32.00000,18.07981,7.71351,3.48833,0.78140,0.60868,1.78413,6.47723,13.91500,46.5,1.74047,5.31037,32.8,3.38488,4.09086,82.7,1.37440,6.33911
Bruce Brown,DEN,UTA,G,26.00000,11.68092,4.81277,2.78373,0.94113,0.28052,1.12660,4.29608,8.78951,48.9,1.18165,3.17902,37.2,1.90710,2.33880,81.5,1.34219,3.47059
Jaylen Brown,BOS,IND,F,36.00000,24.76786,8.57263,4.47510,1.39054,0.39336,2.68957,9.33739,19.19029,48.7,1.95724,6.10209,32.1,4.13583,5.68587,72.7,1.37869,7.19394
Thomas Bryant,CLE,CHA,C,14.00000,6.22025,4.66042,0.82972,0.25850,0.77299,0.60239,2.37401,4.30504,55.1,0.44254,1.31610,33.6,1.02970,1.33937,76.9,1.24599,3.41443
Jimmy Butler,GSW,ORL,F,34.00000,17.67122,6.31858,4.76800,1.51163,0.35267,1.84437,5.72650,11.66564,49.1,0.84391,2.48586,33.9,5.37430,6.45979,83.2,1.98227,4.33631
Jamal Cain,ORL,GSW,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kentavious Caldwell-Pope,MEM,OKC,G,28.00000,9.54967,4.08950,2.18541,1.04104,0.29676,1.65743,3.27213,7.82073,41.8,1.44192,3.75412,38.4,1.56349,1.84543,84.7,0.61872,3.47078
Toumani Camara,POR,DET,F,34.00000,13.70913,5.35920,2.91718,1.56148,0.53903,1.74889,4.74335,10.69430,44.4,1.97025,5.40287,36.5,2.25218,2.83947,79.3,1.99993,3.35927
Branden Carlson,OKC,MEM,C,10.00000,4.31264,2.83249,0.62558,0.12029,0.46901,0.31233,1.78016,3.22919,55.1,0.53786,1.41774,37.9,0.21446,0.41981,51.1,0.66504,2.16745
Wendell Carter,ORL,GSW,C,31.00000,12.50072,9.55853,2.36538,0.66797,0.71224,1.79728,4.68201,9.19661,50.9,1.04404,3.22093,32.4,2.09267,2.81141,74.4,2.28426,7.27427
Alex Caruso,OKC,MEM,F,17.00000,5.50190,3.17036,2.27266,1.14811,0.40439,0.81403,1.91174,4.47205,42.7,1.06654,2.92215,36.5,0.61189,0.79827,76.7,0.69439,2.47597
Colin Castleton,ORL,GSW,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Max Christie,DAL,NOP,G,16.00000,6.63409,2.26815,1.29728,0.52491,0.25515,0.66621,2.24184,5.00117,44.8,1.05956,2.84124,37.3,1.09085,1.32869,82.1,0.61682,1.65133
Moussa Cisse,DAL,NOP,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Sidy Cissoko,POR,DET,F,24.00000,8.13935,3.37646,1.98941,0.69592,0.21923,1.50228,2.76094,6.96509,39.6,1.27089,3.95975,32.1,1.34658,1.79394,75.1,1.25368,2.12277
Brandon Clarke,MEM,OKC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Walter Clayton,UTA,DEN,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Donovan Clingan,POR,DET,C,29.00000,11.30610,11.28418,2.42854,0.79714,1.70164,1.80073,4.37525,8.10822,54.0,0.46654,1.45009,32.2,2.08905,3.16872,65.9,3.55303,7.73114
Isaiah Collier,UTA,DEN,G,26.00000,10.66304,3.31893,6.43761,0.95632,0.16800,2.14504,3.94745,8.50953,46.4,0.72598,2.55265,28.4,2.04215,2.83732,72.0,0.59602,2.72291
Pat Connaughton,CHA,CLE,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Javonte Cooke,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Cedric Coward,MEM,OKC,G,30.00000,12.60454,5.53922,3.54446,1.26267,0.53095,1.33258,4.22639,9.98855,42.3,1.64154,4.44543,36.9,2.51023,3.05727,82.1,0.99027,4.54895
LJ Cryer,GSW,ORL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Cade Cunningham,DET,POR,G,36.00000,27.97395,6.70444,8.02404,1.50167,0.67245,4.04679,9.96778,21.24246,46.9,2.62347,7.41507,35.4,5.41492,6.30619,85.9,1.29942,5.40503
